date,bottom,depth,chl,cdom,mineral,cloud,suntheta,windspeed,temp,salinity,BLUE,GREEN,RED,CLEAR,name
2018-06-01_20-29-00,dummyR.bot,1.25,5.0,1.0,1.0,0.0,0.0,0.0,10.0,0.0,0.6148338930065687,0.487728903722404,0.5543682210673065,0.5333729985700592,1
2018-06-01_20-29-00,dummyR.bot,1.25,5.0,1.0,1.0,0.0,15.0,0.0,10.0,0.0,0.6366809325447772,0.5052091082680696,0.5735536554174615,0.5525959067802529,2
2018-06-01_20-29-00,dummyR.bot,1.25,5.0,1.0,1.0,0.0,30.0,0.0,10.0,0.0,0.6552069974875263,0.5204057558689351,0.5907977788369694,0.5693002760082886,3
2018-06-01_20-29-00,dummyR.bot,1.25,5.0,1.0,1.0,0.0,45.0,0.0,10.0,0.0,0.7348299141064308,0.5841141036480711,0.6601303227098221,0.6392854621216869,4
2018-06-01_20-29-00,dummyR.bot,1.25,5.0,1.0,1.0,1.0,0.0,0.0,10.0,0.0,0.6941937938094335,0.5519328974520378,0.6240100724224742,0.6036971374928749,5
2018-06-01_20-29-00,dummyR.bot,1.25,5.0,1.0,1.0,1.0,15.0,0.0,10.0,0.0,0.6957349968373874,0.5531578716174956,0.6253965442777214,0.6050495966968471,6
2018-06-01_20-29-00,dummyR.bot,1.25,5.0,1.0,1.0,1.0,30.0,0.0,10.0,0.0,0.6990098258391675,0.5556783428912582,0.6282453389347052,0.6078403656180826,7
2018-06-01_20-29-00,dummyR.bot,1.25,5.0,1.0,1.0,1.0,45.0,0.0,10.0,0.0,0.7033477322557635,0.558811902701512,0.6317604567650342,0.611326066786312,8
2018-06-01_20-29-00,dummyR.bot,1.25,5.0,1.0,5.0,0.0,0.0,0.0,10.0,0.0,0.9157188190267024,0.8683549520950191,1.0370359803795224,0.9164809140195777,9
2018-06-01_20-29-00,dummyR.bot,1.25,5.0,1.0,5.0,0.0,15.0,0.0,10.0,0.0,0.9511934475087572,0.9014588570864532,1.073818315890061,0.951189370842468,10
2018-06-01_20-29-00,dummyR.bot,1.25,5.0,1.0,5.0,0.0,30.0,0.0,10.0,0.0,0.9804080128709944,0.9292287583899782,1.10525281206833,0.9800977439218423,11
2018-06-01_20-29-00,dummyR.bot,1.25,5.0,1.0,5.0,0.0,45.0,0.0,10.0,0.0,1.1025675135762738,1.0413056611934648,1.2270572697796174,1.0974651119475949,12
2018-06-01_20-29-00,dummyR.bot,1.25,5.0,1.0,5.0,1.0,0.0,0.0,10.0,0.0,1.039257330792702,0.9830973391248936,1.162548630329749,1.0369656617021803,13
2018-06-01_20-29-00,dummyR.bot,1.25,5.0,1.0,5.0,1.0,15.0,0.0,10.0,0.0,1.0414886697806092,0.9851623897170144,1.1648070097045495,1.039071629573182,14
2018-06-01_20-29-00,dummyR.bot,1.25,5.0,1.0,5.0,1.0,30.0,0.0,10.0,0.0,1.0460869630195222,0.9893107376368734,1.1692260791601572,1.0432198830362065,15
2018-06-01_20-29-00,dummyR.bot,1.25,5.0,1.0,5.0,1.0,45.0,0.0,10.0,0.0,1.0517171181062563,0.9941164772442688,1.1740557499201032,1.0478385440016809,16
2018-06-01_20-29-00,dummyR.bot,1.25,5.0,1.0,10.0,0.0,0.0,0.0,10.0,0.0,1.3062536225042856,1.3705953550179713,1.6669807968528385,1.4095241382195214,17
2018-06-01_20-29-00,dummyR.bot,1.25,5.0,1.0,10.0,0.0,15.0,0.0,10.0,0.0,1.3515172036697158,1.4143787860549917,1.7148734974265596,1.4544995069150888,18
2018-06-01_20-29-00,dummyR.bot,1.25,5.0,1.0,10.0,0.0,30.0,0.0,10.0,0.0,1.3873438811151295,1.4494315327157603,1.7533817131691662,1.4900146859958632,19
2018-06-01_20-29-00,dummyR.bot,1.25,5.0,1.0,10.0,0.0,45.0,0.0,10.0,0.0,1.527768750954205,1.5811455263904082,1.8934616389144123,1.6255511827156808,20
2018-06-01_20-29-00,dummyR.bot,1.25,5.0,1.0,10.0,1.0,0.0,0.0,10.0,0.0,1.4529205426831178,1.5105163847063343,1.8181953650392142,1.5543538061585302,21
2018-06-01_20-29-00,dummyR.bot,1.25,5.0,1.0,10.0,1.0,15.0,0.0,10.0,0.0,1.45542201475419,1.5128900638630143,1.8206252127110116,1.5566577395081425,22
2018-06-01_20-29-00,dummyR.bot,1.25,5.0,1.0,10.0,1.0,30.0,0.0,10.0,0.0,1.4604902062315264,1.517587871790339,1.8251468786128329,1.5610241810776333,23
2018-06-01_20-29-00,dummyR.bot,1.25,5.0,1.0,10.0,1.0,45.0,0.0,10.0,0.0,1.4663827423328224,1.5227295199057158,1.829383867440868,1.5653489488172048,24
2018-06-01_20-29-00,dummyR.bot,1.25,5.0,5.0,1.0,0.0,0.0,0.0,10.0,0.0,1.352646476156664,1.2315654825255522,1.3018685602355955,1.2763931207539028,25
2018-06-01_20-29-00,dummyR.bot,1.25,5.0,5.0,1.0,0.0,15.0,0.0,10.0,0.0,1.401235555855615,1.2750004450987802,1.3460470308694263,1.3215356369605835,26
2018-06-01_20-29-00,dummyR.bot,1.25,5.0,5.0,1.0,0.0,30.0,0.0,10.0,0.0,1.4415986786244483,1.3119667935875154,1.3848479377859877,1.3599622921979069,27
2018-06-01_20-29-00,dummyR.bot,1.25,5.0,5.0,1.0,0.0,45.0,0.0,10.0,0.0,1.6141865721224955,1.4655136172011092,1.5395779250375192,1.51948565926525,28
2018-06-01_20-29-00,dummyR.bot,1.25,5.0,5.0,1.0,1.0,0.0,0.0,10.0,0.0,1.5224349380234896,1.3839555587981809,1.4552872472237213,1.4343573571616874,29
2018-06-01_20-29-00,dummyR.bot,1.25,5.0,5.0,1.0,1.0,15.0,0.0,10.0,0.0,1.5256329736553598,1.3868469180500185,1.4583150585982525,1.4373655248757151,30
2018-06-01_20-29-00,dummyR.bot,1.25,5.0,5.0,1.0,1.0,30.0,0.0,10.0,0.0,1.5322752827844903,1.3927446961490262,1.4644947623310725,1.4435155504149568,31
2018-06-01_20-29-00,dummyR.bot,1.25,5.0,5.0,1.0,1.0,45.0,0.0,10.0,0.0,1.5404577830032375,1.3997594372166493,1.4718266662349289,1.4508489273026033,32
2018-06-01_20-29-00,dummyR.bot,1.25,5.0,5.0,5.0,0.0,0.0,0.0,10.0,0.0,1.7178632091734465,1.6867076412159685,1.8544580062913845,1.7289790679311063,33
2018-06-01_20-29-00,dummyR.bot,1.25,5.0,5.0,5.0,0.0,15.0,0.0,10.0,0.0,1.7802067047302117,1.7458905417085864,1.9158739165353196,1.7896457458848805,34
2018-06-01_20-29-00,dummyR.bot,1.25,5.0,5.0,5.0,0.0,30.0,0.0,10.0,0.0,1.8307302353492063,1.7947673774836272,1.96762843659224,1.839499543927292,35
2018-06-01_20-29-00,dummyR.bot,1.25,5.0,5.0,5.0,0.0,45.0,0.0,10.0,0.0,2.0381597247815484,1.9881964042425908,2.1645690243309423,2.037939352432156,36
2018-06-01_20-29-00,dummyR.bot,1.25,5.0,5.0,5.0,1.0,0.0,0.0,10.0,0.0,1.9249028290556265,1.8819687238258702,2.0545284254283933,1.929465006983276,37
2018-06-01_20-29-00,dummyR.bot,1.25,5.0,5.0,5.0,1.0,15.0,0.0,10.0,0.0,1.9286406854952345,1.885532255210816,2.058219820698556,1.9330525237444272,38
2018-06-01_20-29-00,dummyR.bot,1.25,5.0,5.0,5.0,1.0,30.0,0.0,10.0,0.0,1.9363039688892123,1.8927375126149717,2.065568652549568,1.9402205566120712,39
2018-06-01_20-29-00,dummyR.bot,1.25,5.0,5.0,5.0,1.0,45.0,0.0,10.0,0.0,1.9453329731231919,1.9009590522215116,2.0736507571478637,1.9481927098168776,40
2018-06-01_20-29-00,dummyR.bot,1.25,5.0,5.0,10.0,0.0,0.0,0.0,10.0,0.0,2.182880839759041,2.2692854198826096,2.5548803934097406,2.2976491656854936,41
