date,bottom,depth,chl,cdom,mineral,cloud,suntheta,windspeed,temp,salinity,BLUE,GREEN,RED,CLEAR,name
2018-06-01_20-29-00,dummyR.bot,1.25,5.0,1.0,1.0,0.0,0.0,0.0,10.0,0.0,0.675513975607052,0.6435278979148303,0.5127579829555861,0.5057483666589202,1
2018-06-01_20-29-00,dummyR.bot,1.25,5.0,1.0,1.0,0.0,15.0,0.0,10.0,0.0,0.5145644819584223,0.6953659729977452,0.5347577998613248,0.6602271012127413,2
2018-06-01_20-29-00,dummyR.bot,1.25,5.0,1.0,1.0,0.0,30.0,0.0,10.0,0.0,0.5918096818669172,0.3776153066148961,0.4979931138671535,0.5000141473395319,3
2018-06-01_20-29-00,dummyR.bot,1.25,5.0,1.0,1.0,0.0,45.0,0.0,10.0,0.0,0.8419791309258631,0.4590966274029216,0.684444755142081,0.5677249063149925,4
2018-06-01_20-29-00,dummyR.bot,1.25,5.0,1.0,1.0,1.0,0.0,0.0,10.0,0.0,0.7562719330937683,0.5741286967135945,0.6815123048691771,0.5236282089761091,5
2018-06-01_20-29-00,dummyR.bot,1.25,5.0,1.0,1.0,1.0,15.0,0.0,10.0,0.0,0.76843541799831,0.6730786430005662,0.7996566944264474,0.6522835715702829,6
2018-06-01_20-29-00,dummyR.bot,1.25,5.0,1.0,1.0,1.0,30.0,0.0,10.0,0.0,0.5589168567214657,0.5740764185679125,0.6616858430662329,0.6984889842297127,7
2018-06-01_20-29-00,dummyR.bot,1.25,5.0,1.0,1.0,1.0,45.0,0.0,10.0,0.0,0.6115022668234686,0.7402308075632955,0.5190388592436561,0.4575916743462935,8
2018-06-01_20-29-00,dummyR.bot,1.25,5.0,1.0,5.0,0.0,0.0,0.0,10.0,0.0,0.9799039955218771,0.9956283158509358,0.9964938849726179,0.9378859263439308,9
2018-06-01_20-29-00,dummyR.bot,1.25,5.0,1.0,5.0,0.0,15.0,0.0,10.0,0.0,0.916011983658448,1.1036294056454663,1.182163596717626,0.9320338321480816,10
2018-06-01_20-29-00,dummyR.bot,1.25,5.0,1.0,5.0,0.0,30.0,0.0,10.0,0.0,0.9731611250320692,0.8737647828117261,1.2081918865493362,0.9353970580135136,11
2018-06-01_20-29-00,dummyR.bot,1.25,5.0,1.0,5.0,0.0,45.0,0.0,10.0,0.0,1.1698352601211068,0.935136396646766,1.3925956654412064,1.1676180334905062,12
