date,bottom,depth,chl,cdom,mineral,cloud,suntheta,windspeed,temp,salinity,BLUE,GREEN,RED,CLEAR,name
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,4.0,2.0,0.0,0.0,0.0,10.0,0.0,1.2896236875349858,1.2058821309122518,1.326342900451011,1.2530918305104082,1
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,4.0,2.0,0.0,45.0,0.0,10.0,0.0,1.542668721298292,1.4382305018914268,1.569852483741129,1.4943636571361567,2
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,4.0,2.0,1.0,0.0,0.0,10.0,0.0,1.4544423714739076,1.3576375380947745,1.4841135901045082,1.410642194817325,3
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,4.0,2.0,1.0,45.0,0.0,10.0,0.0,1.471586124044893,1.372971270886491,1.5002724516531298,1.4262891461961134,4
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,4.0,6.0,0.0,0.0,0.0,10.0,0.0,1.6467836857552238,1.6536768852462709,1.872798842403712,1.6957723807813638,5
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,4.0,6.0,0.0,45.0,0.0,10.0,0.0,1.9494894034501309,1.9415396357084116,2.173977126697012,1.9905872194275869,6
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,4.0,6.0,1.0,0.0,0.0,10.0,0.0,1.8433737006300792,1.841019583143276,2.0683600720776627,1.8883541432988,7
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,4.0,6.0,1.0,45.0,0.0,10.0,0.0,1.862424624730624,1.85876163489864,2.086026360237987,1.905474882717604,8
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,4.0,7.0,0.0,0.0,0.0,10.0,0.0,1.737210820071747,1.7673721736875494,2.0106917965963067,1.806960171000604,9
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,4.0,7.0,0.0,45.0,0.0,10.0,0.0,2.0456940182002312,2.0611597644529094,2.317374317205733,2.107353930592836,10
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,4.0,7.0,1.0,0.0,0.0,10.0,0.0,1.9376247807730664,1.9586763408583159,2.2102354000489526,2.0034538228462626,11
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,4.0,7.0,1.0,45.0,0.0,10.0,0.0,1.9567544600009867,1.9765072002386697,2.2276768429355367,2.0204568510283183,12
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,4.0,15.0,0.0,0.0,0.0,10.0,0.0,2.4515877990721626,2.666767387076983,3.085633485797389,2.6701596826399197,13
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,4.0,15.0,0.0,45.0,0.0,10.0,0.0,2.7510116673399945,2.9473142843906555,3.3720811212177164,2.9558531594163453,14
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,4.0,15.0,1.0,0.0,0.0,10.0,0.0,2.647975208792837,2.8516782530765243,3.276911465309849,2.860520231316229,15
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,4.0,15.0,1.0,45.0,0.0,10.0,0.0,2.664958106524675,2.866981973827207,3.2888617362598263,2.8736434796302857,16
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,10.0,2.0,0.0,0.0,0.0,10.0,0.0,2.40237683085128,2.327185003976166,2.4516873925736995,2.3727099370986577,17
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,10.0,2.0,0.0,45.0,0.0,10.0,0.0,2.85282061663572,2.749772594471936,2.876950328793344,2.8042470313546035,18
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,10.0,2.0,1.0,0.0,0.0,10.0,0.0,2.6862782223012567,2.5942955466086293,2.718940449614036,2.6452736203673624,19
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,10.0,2.0,1.0,45.0,0.0,10.0,0.0,2.7152456098706463,2.6213963701701757,2.7466188150206925,2.672634219317481,20
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,10.0,6.0,0.0,0.0,0.0,10.0,0.0,2.8240964334021066,2.8466663725281256,3.066775599699623,2.883394452608831,21
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,10.0,6.0,0.0,45.0,0.0,10.0,0.0,3.297160748032076,3.295214386158983,3.5187769732268737,3.3399174475224536,22
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,10.0,6.0,1.0,0.0,0.0,10.0,0.0,3.122692717893555,3.130647211935776,3.3525629983278247,3.173002296100392,23
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,10.0,6.0,1.0,45.0,0.0,10.0,0.0,3.151550538615929,3.157946707648576,3.379388136954545,3.1996574107846247,24
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,10.0,7.0,0.0,0.0,0.0,10.0,0.0,2.929785776348384,2.976975534008369,3.2201475200156557,3.0103209854078727,25
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,10.0,7.0,0.0,45.0,0.0,10.0,0.0,3.4019211707720585,3.4241803715915644,3.6703444245080865,3.4654899507051824,26
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,10.0,7.0,1.0,0.0,0.0,10.0,0.0,3.228215206042977,3.260577650974372,3.5055981838923875,3.2997202904049314,27
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,10.0,7.0,1.0,45.0,0.0,10.0,0.0,3.2566975005265504,3.287484005700344,3.5316954047200277,3.325783956853728,28
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,10.0,15.0,0.0,0.0,0.0,10.0,0.0,3.7559056806093816,3.9942308359549017,4.401616812393987,3.9860595021957015,29
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,10.0,15.0,0.0,45.0,0.0,10.0,0.0,4.173623261725648,4.380984712051266,4.786866075521401,4.381718390855236,30
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,10.0,15.0,1.0,0.0,0.0,10.0,0.0,4.024159926677099,4.2439491413113215,4.652914567805939,4.243423334889125,31
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,10.0,15.0,1.0,45.0,0.0,10.0,0.0,4.047646951741195,4.265339185496279,4.670656895062408,4.262735659191923,32
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,14.0,2.0,0.0,0.0,0.0,10.0,0.0,3.1364485900284933,3.0655921916506434,3.1924654565335926,3.1103477829769064,33
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,14.0,2.0,0.0,45.0,0.0,10.0,0.0,3.7111253577799808,3.607431920193645,3.7317835214304425,3.6613655672195535,34
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,14.0,2.0,1.0,0.0,0.0,10.0,0.0,3.4912655515125333,3.4013982694753317,3.5252841666161774,3.4515191191815378,35
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,14.0,2.0,1.0,45.0,0.0,10.0,0.0,3.5274019830505527,3.4356156185130717,3.559942696215234,3.485975197355003,36
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,14.0,6.0,0.0,0.0,0.0,10.0,0.0,3.5912077783827727,3.621363631604876,3.8429587924741737,3.6557377583707913,37
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,14.0,6.0,0.0,45.0,0.0,10.0,0.0,4.166664106296435,4.165755107965802,4.385444694504104,4.2091487995879735,38
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,14.0,6.0,1.0,0.0,0.0,10.0,0.0,3.9484548639610826,3.9607326887176826,4.180967442353003,4.001170313528556,39
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,14.0,6.0,1.0,45.0,0.0,10.0,0.0,3.9830284121081454,3.993551054237445,4.213104187121327,4.033358519285386,40
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,14.0,7.0,0.0,0.0,0.0,10.0,0.0,3.70455450152691,3.7599849919418484,4.004465459838091,3.7906327686881087,41
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,14.0,7.0,0.0,45.0,0.0,10.0,0.0,4.274273243348636,4.298054922129578,4.540101738746288,4.337833130576159,42
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,14.0,7.0,1.0,0.0,0.0,10.0,0.0,4.059021499052125,4.096178144293128,4.33930183460284,4.133157318517158,43
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,14.0,7.0,1.0,45.0,0.0,10.0,0.0,4.092972133227192,4.12833789117328,4.370482876972617,4.164512936204563,44
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,14.0,15.0,0.0,0.0,0.0,10.0,0.0,4.586745651853823,4.8367981407890435,5.241248647335583,4.8231768904567405,45
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,14.0,15.0,0.0,45.0,0.0,10.0,0.0,5.07222197447016,5.2841858766748935,5.683452373688496,5.281815823511503,46
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,14.0,15.0,1.0,0.0,0.0,10.0,0.0,4.894895914086174,5.122547013843512,5.526403455936152,5.1178711839717685,47
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,14.0,15.0,1.0,45.0,0.0,10.0,0.0,4.922028454246781,5.147327960691946,5.547358431222267,5.1406379615553535,48
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,21.0,2.0,0.0,0.0,0.0,10.0,0.0,4.411892183720129,4.347118233330106,4.4772794662060456,4.390776823799146,49
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,21.0,2.0,0.0,45.0,0.0,10.0,0.0,5.192318873519142,5.0859495789751765,5.204911624115745,5.139325391143078,50
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,21.0,2.0,1.0,0.0,0.0,10.0,0.0,4.878003372527625,4.790909542269724,4.9135624559455415,4.83986202750409,51
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,21.0,2.0,1.0,45.0,0.0,10.0,0.0,4.925570721131485,4.836445796948111,4.95933752270657,4.885619529180821,52
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,21.0,6.0,0.0,0.0,0.0,10.0,0.0,4.9151235604145525,4.956166204787696,5.180694704755782,4.9873263274969215,53
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,21.0,6.0,0.0,45.0,0.0,10.0,0.0,5.655293609890531,5.654132269056661,5.86836731660524,5.696301703797633,54
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,21.0,6.0,1.0,0.0,0.0,10.0,0.0,5.362906970918937,5.381087032373219,5.599790583231564,5.419107236371614,55
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,21.0,6.0,1.0,45.0,0.0,10.0,0.0,5.4063834796017485,5.422488562835149,5.640216819531907,5.459912806868579,56
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,21.0,7.0,0.0,0.0,0.0,10.0,0.0,5.039728656693859,5.107036101604327,5.353889035648707,5.133862418023863,57
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,21.0,7.0,0.0,45.0,0.0,10.0,0.0,5.7654013641349495,5.789598410424309,6.026024042456336,5.827906809737977,58
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,21.0,7.0,1.0,0.0,0.0,10.0,0.0,5.480319913313672,5.524166027670219,5.7653933894950775,5.5583222695267045,59
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,21.0,7.0,1.0,45.0,0.0,10.0,0.0,5.522607237438092,5.564306109948149,5.804208109324643,5.597688523612882,60
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,21.0,15.0,0.0,0.0,0.0,10.0,0.0,6.001696545040496,6.268863044501932,6.67115098838591,6.247592524763408,61
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,21.0,15.0,0.0,45.0,0.0,10.0,0.0,6.592566829895975,6.810301464817092,7.202282781825862,6.804204181408348,62
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,21.0,15.0,1.0,0.0,0.0,10.0,0.0,6.370210282243817,6.609096908603859,7.007954857009916,6.598876353083244,63
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,21.0,15.0,1.0,45.0,0.0,10.0,0.0,6.4028826685922935,6.638983429407888,7.033801269524883,6.626879776054918,64
