date,bottom,depth,chl,cdom,mineral,cloud,suntheta,windspeed,temp,salinity,BLUE,GREEN,RED,CLEAR,name
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,4.0,2.0,0.0,0.0,0.0,10.0,0.0,1.285445833907261,1.1212297144091532,1.2717347694529881,1.1168409478100652,1
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,4.0,2.0,0.0,45.0,0.0,10.0,0.0,1.5718027758816904,1.46953328089837,1.4838370137982309,1.5136013514572035,2
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,4.0,2.0,1.0,0.0,0.0,10.0,0.0,1.5663786911040032,1.3994524711339296,1.396227669099783,1.4679099325656488,3
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,4.0,2.0,1.0,45.0,0.0,10.0,0.0,1.4550896685879011,1.430307007186005,1.5586475460235212,1.401314350502629,4
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,4.0,6.0,0.0,0.0,0.0,10.0,0.0,1.663520787790731,1.7259377092157524,2.0265564492777077,1.8077499036393487,5
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,4.0,6.0,0.0,45.0,0.0,10.0,0.0,1.8256955191237156,2.0612477551087203,2.201905192022115,1.978941634676282,6
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,4.0,6.0,1.0,0.0,0.0,10.0,0.0,1.9018462002775536,1.8592486405882782,2.182804272594434,1.8373202504688717,7
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,4.0,6.0,1.0,45.0,0.0,10.0,0.0,1.8568238938774877,1.8613509946610345,2.1893485971445803,2.030026349665348,8
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,4.0,7.0,0.0,0.0,0.0,10.0,0.0,1.8791807604368869,1.953773002735507,2.0676204287485787,1.9479405431835497,9
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,4.0,7.0,0.0,45.0,0.0,10.0,0.0,2.1753370489578447,1.984272911079042,2.42374072903144,2.133582724858265,10
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,4.0,7.0,1.0,0.0,0.0,10.0,0.0,1.9161485919211518,2.0500337276219263,2.145160448797705,1.994774716432106,11
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,4.0,7.0,1.0,45.0,0.0,10.0,0.0,1.8682412365832124,2.042445212958069,2.1389770640130044,2.1203467660573536,12
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,4.0,15.0,0.0,0.0,0.0,10.0,0.0,2.6526459257829464,2.7412210647856567,3.1642114693245422,2.634814797028971,13
2018-06-15_16-18-45,avg_seagrass,1.25,7.0,4.0,15.0,0.0,45.0,0.0,10.0,0.0,2.6890684920182077,2.9722793236077925,3.3930578283471133,2.8914994525747924,14
