date,bottom,depth,chl,cdom,mineral,cloud,suntheta,windspeed,temp,salinity,BLUE,GREEN,RED,name
2018-06-03_10-51-13,dummyR.bot,1.25,5.0,5.0,1.0,0.0,0.0,0.0,10.0,0.0,57.645487742156135,80.0909440431263,93.83343216182428,1
2018-06-03_10-51-13,dummyR.bot,1.25,5.0,5.0,1.0,0.0,30.0,0.0,10.0,0.0,48.80672380199797,67.94577908406106,78.9986312284453,2
2018-06-03_10-51-13,dummyR.bot,1.25,5.0,5.0,1.0,1.0,0.0,0.0,10.0,0.0,13.968677986592764,19.659551636396287,22.95284970769352,3
2018-06-03_10-51-13,dummyR.bot,1.25,5.0,5.0,1.0,1.0,30.0,0.0,10.0,0.0,11.814974795277966,16.587256189386768,19.277249685453686,4
2018-06-03_10-51-13,dummyR.bot,1.25,5.0,5.0,10.0,0.0,0.0,0.0,10.0,0.0,59.991500957833345,83.23202671956835,90.944078851265,5
2018-06-03_10-51-13,dummyR.bot,1.25,5.0,5.0,10.0,0.0,30.0,0.0,10.0,0.0,49.07695900950065,67.73168453446712,73.17441817983183,6
2018-06-03_10-51-13,dummyR.bot,1.25,5.0,5.0,10.0,1.0,0.0,0.0,10.0,0.0,13.60872048917773,18.89366713995381,20.47902927526156,7
2018-06-03_10-51-13,dummyR.bot,1.25,5.0,5.0,10.0,1.0,30.0,0.0,10.0,0.0,11.471630368622296,15.875626963666251,17.125947612316242,8
2018-06-03_10-51-13,dummyR.bot,1.25,5.0,15.0,1.0,0.0,0.0,0.0,10.0,0.0,42.98248895314384,61.8272760104081,70.34131482969859,9
2018-06-03_10-51-13,dummyR.bot,1.25,5.0,15.0,1.0,0.0,30.0,0.0,10.0,0.0,34.270981034167725,49.36540369779044,55.85898979998288,10
2018-06-03_10-51-13,dummyR.bot,1.25,5.0,15.0,1.0,1.0,0.0,0.0,10.0,0.0,9.290347684855217,13.53821754167396,15.452786493471516,11
2018-06-03_10-51-13,dummyR.bot,1.25,5.0,15.0,1.0,1.0,30.0,0.0,10.0,0.0,7.809487087880242,11.35091015023848,12.898592728737604,12
2018-06-03_10-51-13,dummyR.bot,1.25,5.0,15.0,10.0,0.0,0.0,0.0,10.0,0.0,35.69195479875875,48.49130136336356,51.67209637049737,13
2018-06-03_10-51-13,dummyR.bot,1.25,5.0,15.0,10.0,0.0,30.0,0.0,10.0,0.0,27.76839832957873,37.615491321722594,39.777150731433466,14
2018-06-03_10-51-13,dummyR.bot,1.25,5.0,15.0,10.0,1.0,0.0,0.0,10.0,0.0,7.398765242065756,10.115867172662037,10.77716232787621,15
