date,bottom,depth,chl,cdom,mineral,cloud,suntheta,windspeed,temp,salinity,BLUE,GREEN,RED,name
2018-06-03_10-51-13,dummyR.bot,1.25,5.0,5.0,1.0,0.0,0.0,0.0,10.0,0.0,57.530926009813655,80.04940429126074,92.8797926806336,1
2018-06-03_10-51-13,dummyR.bot,1.25,5.0,5.0,1.0,0.0,30.0,0.0,10.0,0.0,48.45993446016674,67.54069661928003,79.57667159804896,2
2018-06-03_10-51-13,dummyR.bot,1.25,5.0,5.0,1.0,1.0,0.0,0.0,10.0,0.0,14.043873739889898,19.811495454052967,23.32113109443018,3
2018-06-03_10-51-13,dummyR.bot,1.25,5.0,5.0,1.0,1.0,30.0,0.0,10.0,0.0,12.076810750436636,16.668659619633516,19.48473862210634,4
2018-06-03_10-51-13,dummyR.bot,1.25,5.0,5.0,10.0,0.0,0.0,0.0,10.0,0.0,60.6681076598734,82.07804047766828,89.29640233534077,5
2018-06-03_10-51-13,dummyR.bot,1.25,5.0,5.0,10.0,0.0,30.0,0.0,10.0,0.0,50.14327869470682,67.14215453289918,73.34170988992862,6
2018-06-03_10-51-13,dummyR.bot,1.25,5.0,5.0,10.0,1.0,0.0,0.0,10.0,0.0,13.742913926743643,18.91910854756587,20.43596802454372,7
2018-06-03_10-51-13,dummyR.bot,1.25,5.0,5.0,10.0,1.0,30.0,0.0,10.0,0.0,11.46903090998456,15.805422313023454,17.000665669971067,8
2018-06-03_10-51-13,dummyR.bot,1.25,5.0,15.0,1.0,0.0,0.0,0.0,10.0,0.0,42.417619264920184,61.132624421963435,69.72896866257221,9
2018-06-03_10-51-13,dummyR.bot,1.25,5.0,15.0,1.0,0.0,30.0,0.0,10.0,0.0,33.972663532247395,49.22466257063554,54.98543418272824,10
2018-06-03_10-51-13,dummyR.bot,1.25,5.0,15.0,1.0,1.0,0.0,0.0,10.0,0.0,9.295313272093289,13.748455317329588,15.690688710994106,11
2018-06-03_10-51-13,dummyR.bot,1.25,5.0,15.0,1.0,1.0,30.0,0.0,10.0,0.0,7.795769872026838,11.35610643853518,12.913011331104169,12
2018-06-03_10-51-13,dummyR.bot,1.25,5.0,15.0,10.0,0.0,0.0,0.0,10.0,0.0,35.29373643684372,48.40617465768484,51.159122830720996,13
2018-06-03_10-51-13,dummyR.bot,1.25,5.0,15.0,10.0,0.0,30.0,0.0,10.0,0.0,27.68553778558889,37.94110818317177,40.120609621556156,14
2018-06-03_10-51-13,dummyR.bot,1.25,5.0,15.0,10.0,1.0,0.0,0.0,10.0,0.0,7.410371270394594,10.219558869078,10.784373187189974,15
2018-06-03_10-51-13,dummyR.bot,1.25,5.0,15.0,10.0,1.0,30.0,0.0,10.0,0.0,6.270694285100447,8.369533670859486,8.927059230566606,16
2018-06-03_10-51-13,dummyR.bot,1.25,50.0,5.0,1.0,0.0,0.0,0.0,10.0,0.0,55.49971246844471,73.43031383192623,73.34382663803876,17
2018-06-03_10-51-13,dummyR.bot,1.25,50.0,5.0,1.0,0.0,30.0,0.0,10.0,0.0,46.398220313213024,59.78535519790115,57.99844002891514,18
2018-06-03_10-51-13,dummyR.bot,1.25,50.0,5.0,1.0,1.0,0.0,0.0,10.0,0.0,12.77163222314152,16.551049086719782,16.01198245488729,19
2018-06-03_10-51-13,dummyR.bot,1.25,50.0,5.0,1.0,1.0,30.0,0.0,10.0,0.0,10.508899007504123,13.902115290765511,13.399396887626141,20
2018-06-03_10-51-13,dummyR.bot,1.25,50.0,5.0,10.0,0.0,0.0,0.0,10.0,0.0,50.38887958183025,61.18732715165318,54.995739022982505,21
2018-06-03_10-51-13,dummyR.bot,1.25,50.0,5.0,10.0,0.0,30.0,0.0,10.0,0.0,40.16320874713121,48.24646880569579,42.942986174254926,22
2018-06-03_10-51-13,dummyR.bot,1.25,50.0,5.0,10.0,1.0,0.0,0.0,10.0,0.0,10.93166133279332,13.215669880664494,11.595315727687874,23
2018-06-03_10-51-13,dummyR.bot,1.25,50.0,5.0,10.0,1.0,30.0,0.0,10.0,0.0,9.150176967015156,11.203229306269591,9.798454990220048,24
2018-06-03_10-51-13,dummyR.bot,1.25,50.0,15.0,1.0,0.0,0.0,0.0,10.0,0.0,35.7417810070871,45.115668116000776,43.650249199103406,25
2018-06-03_10-51-13,dummyR.bot,1.25,50.0,15.0,1.0,0.0,30.0,0.0,10.0,0.0,27.815075006367675,34.58568519552956,32.97605551868606,26
2018-06-03_10-51-13,dummyR.bot,1.25,50.0,15.0,1.0,1.0,0.0,0.0,10.0,0.0,7.383412861480937,9.548507170214156,8.891117566857048,27
2018-06-03_10-51-13,dummyR.bot,1.25,50.0,15.0,1.0,1.0,30.0,0.0,10.0,0.0,6.186025611791087,7.915370332957453,7.402556017872987,28
2018-06-03_10-51-13,dummyR.bot,1.25,50.0,15.0,10.0,0.0,0.0,0.0,10.0,0.0,28.276350238709195,33.79517437843948,30.30857719100901,29
2018-06-03_10-51-13,dummyR.bot,1.25,50.0,15.0,10.0,0.0,30.0,0.0,10.0,0.0,21.697550584424558,26.04661221540648,23.01805996024707,30
2018-06-03_10-51-13,dummyR.bot,1.25,50.0,15.0,10.0,1.0,0.0,0.0,10.0,0.0,5.794621844508046,6.785464268643636,6.061137491730922,31
2018-06-03_10-51-13,dummyR.bot,1.25,50.0,15.0,10.0,1.0,30.0,0.0,10.0,0.0,4.855870622631213,5.771118156574596,5.008752994388859,32
