date,bottom,depth,chl,cdom,mineral,cloud,suntheta,windspeed,temp,salinity,BLUE,GREEN,RED,CLEAR,name
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,5.0,1.0,0.0,0.0,0.0,10.0,0.0,1.352646476156664,1.2315654825255522,1.3018685602355955,1.2763931207539028,1
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,5.0,1.0,0.0,45.0,0.0,10.0,0.0,1.6141865721224955,1.4655136172011092,1.5395779250375192,1.51948565926525,2
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,5.0,1.0,1.0,0.0,0.0,10.0,0.0,1.5224349380234896,1.3839555587981809,1.4552872472237213,1.4343573571616874,3
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,5.0,1.0,1.0,45.0,0.0,10.0,0.0,1.5404577830032375,1.3997594372166493,1.4718266662349289,1.4508489273026033,4
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,5.0,10.0,0.0,0.0,0.0,10.0,0.0,2.182880839759041,2.2692854198826096,2.5548803934097406,2.2976491656854936,5
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,5.0,10.0,0.0,45.0,0.0,10.0,0.0,2.518827128715354,2.5863634978910617,2.8788825485562133,2.621182276720304,6
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,5.0,10.0,1.0,0.0,0.0,10.0,0.0,2.400878252160568,2.4756353885955877,2.7664018915605024,2.509443097692388,7
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,5.0,10.0,1.0,45.0,0.0,10.0,0.0,2.4208948042188254,2.4942009983736626,2.7835582092108493,2.5267599967109398,8
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,15.0,1.0,0.0,0.0,0.0,10.0,0.0,3.1709438463661086,3.059452745213396,3.136865094769921,3.103349233025055,9
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,15.0,1.0,0.0,45.0,0.0,10.0,0.0,3.7632328840058618,3.6131254154197063,3.681751271161085,3.6660266072931336,10
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,15.0,1.0,1.0,0.0,0.0,10.0,0.0,3.534960758331452,3.401259796232716,3.4717085423136065,3.450021564565373,11
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,15.0,1.0,1.0,45.0,0.0,10.0,0.0,3.5726428800253403,3.436721637509806,3.5076612079055685,3.4860979113910555,12
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,15.0,10.0,0.0,0.0,0.0,10.0,0.0,4.20412626851026,4.320572319388587,4.605149738249822,4.33727764493176,13
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,15.0,10.0,0.0,45.0,0.0,10.0,0.0,4.764175553586512,4.843520702146498,5.121560071442837,4.870595420669446,14
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,15.0,10.0,1.0,0.0,0.0,10.0,0.0,4.554200201030769,4.649210801960238,4.930757612399012,4.6733599273943724,15
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,15.0,10.0,1.0,45.0,0.0,10.0,0.0,4.586629801798227,4.679611224658962,4.959175883598472,4.7025683829196465,16
2018-06-05_11-26-57,dummyR.bot,1.25,50.0,5.0,1.0,0.0,0.0,0.0,10.0,0.0,2.0641785461266067,2.2613804625510547,2.8400084541697197,2.301763554839264,17
2018-06-05_11-26-57,dummyR.bot,1.25,50.0,5.0,1.0,0.0,45.0,0.0,10.0,0.0,2.455619092315076,2.6613137326387526,3.3003731923634185,2.702347394651072,18
2018-06-05_11-26-57,dummyR.bot,1.25,50.0,5.0,1.0,1.0,0.0,0.0,10.0,0.0,2.3142211113456663,2.5172470521583645,3.1341960090639733,2.5602175091372565,19
