date,bottom,depth,chl,cdom,mineral,cloud,suntheta,windspeed,temp,salinity,BLUE,GREEN,RED,CLEAR,name
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,5.0,1.0,0.0,0.0,0.0,10.0,0.0,1.3578699042515685,1.2314887793861016,1.2645783176504537,1.2522707624381777,1
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,5.0,1.0,0.0,45.0,0.0,10.0,0.0,1.6181129498509983,1.5323351298622014,1.5692783729465778,1.5593142977068408,2
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,5.0,1.0,1.0,0.0,0.0,10.0,0.0,1.4695354263187244,1.4440227343181151,1.465596538848044,1.444392397914353,3
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,5.0,1.0,1.0,45.0,0.0,10.0,0.0,1.59976084091311,1.3650621478782214,1.5225014582555625,1.4914666189692718,4
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,5.0,10.0,0.0,0.0,0.0,10.0,0.0,2.2186968162335767,2.3442137775446223,2.6081042054205543,2.3314471081324557,5
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,5.0,10.0,0.0,45.0,0.0,10.0,0.0,2.4659152739344603,2.601474374851488,2.927000534432952,2.715662255494631,6
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,5.0,10.0,1.0,0.0,0.0,10.0,0.0,2.3711401132068364,2.391077889524507,2.7835601475675085,2.4852072815127184,7
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,5.0,10.0,1.0,45.0,0.0,10.0,0.0,2.3259461857895047,2.475953117324423,2.794085631267417,2.5788867762762258,8
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,15.0,1.0,0.0,0.0,0.0,10.0,0.0,3.0922082578707597,2.9406090948579657,3.1290364226850933,3.081374691695257,9
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,15.0,1.0,0.0,45.0,0.0,10.0,0.0,3.6902870143222177,3.5516017305638172,3.7351611459116967,3.594478288705085,10
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,15.0,1.0,1.0,0.0,0.0,10.0,0.0,3.5738772470111715,3.3049378019329105,3.4721749287004684,3.4122743528838413,11
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,15.0,1.0,1.0,45.0,0.0,10.0,0.0,3.5344936992497633,3.405641880886449,3.543753507929391,3.5123170503596364,12
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,15.0,10.0,0.0,0.0,0.0,10.0,0.0,4.382000868000853,4.4925118000454045,4.660114431350552,4.421834139129644,13
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,15.0,10.0,0.0,45.0,0.0,10.0,0.0,4.685256006263807,4.740074314945539,5.11084592457974,4.923954515376133,14
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,15.0,10.0,1.0,0.0,0.0,10.0,0.0,4.503783114392495,4.597366622956328,4.978401296718982,4.721146636546479,15
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,15.0,10.0,1.0,45.0,0.0,10.0,0.0,4.619825957841659,4.694006760503538,5.020993782095641,4.702321939515264,16
2018-06-05_11-26-57,dummyR.bot,1.25,50.0,5.0,1.0,0.0,0.0,0.0,10.0,0.0,1.9783419867076597,2.2700485677782565,2.7439510360883053,2.2253082328998284,17
2018-06-05_11-26-57,dummyR.bot,1.25,50.0,5.0,1.0,0.0,45.0,0.0,10.0,0.0,2.4340156929673964,2.6670206285541083,3.2226341362466333,2.678367123623049,18
2018-06-05_11-26-57,dummyR.bot,1.25,50.0,5.0,1.0,1.0,0.0,0.0,10.0,0.0,2.2806961946482156,2.431462982909537,2.988006603110545,2.479910893257937,19
2018-06-05_11-26-57,dummyR.bot,1.25,50.0,5.0,1.0,1.0,45.0,0.0,10.0,0.0,2.2512606277761567,2.5018646391817367,3.0745046172144432,2.518621964150017,20
2018-06-05_11-26-57,dummyR.bot,1.25,50.0,5.0,10.0,0.0,0.0,0.0,10.0,0.0,2.9662243339999312,3.267921286807605,4.046080599190081,3.357249563528101,21
2018-06-05_11-26-57,dummyR.bot,1.25,50.0,5.0,10.0,0.0,45.0,0.0,10.0,0.0,3.285673989440716,3.636258969342947,4.162511889328735,3.675642747675605,22
2018-06-05_11-26-57,dummyR.bot,1.25,50.0,5.0,10.0,1.0,0.0,0.0,10.0,0.0,3.172993729777436,3.665129262797113,4.186373700989416,3.5331043458965983,23
2018-06-05_11-26-57,dummyR.bot,1.25,50.0,5.0,10.0,1.0,45.0,0.0,10.0,0.0,3.195562338351184,3.577845200779035,4.191809835497835,3.471331554514949,24
2018-06-05_11-26-57,dummyR.bot,1.25,50.0,15.0,1.0,0.0,0.0,0.0,10.0,0.0,3.776965218646642,4.08808991199503,4.449475032091536,4.06448744505584,25
2018-06-05_11-26-57,dummyR.bot,1.25,50.0,15.0,1.0,0.0,45.0,0.0,10.0,0.0,4.454631328103429,4.665057842423492,5.1893373248285295,4.698224394751224,26
2018-06-05_11-26-57,dummyR.bot,1.25,50.0,15.0,1.0,1.0,0.0,0.0,10.0,0.0,4.178100773086636,4.4151696983879205,4.861558362932548,4.4050803348415934,27
2018-06-05_11-26-57,dummyR.bot,1.25,50.0,15.0,1.0,1.0,45.0,0.0,10.0,0.0,4.3368020474103615,4.369937382538622,5.0337312114944215,4.494383606460045,28
2018-06-05_11-26-57,dummyR.bot,1.25,50.0,15.0,10.0,0.0,0.0,0.0,10.0,0.0,4.989423526981752,5.412140588793992,5.9989986036226535,5.322804007452858,29
2018-06-05_11-26-57,dummyR.bot,1.25,50.0,15.0,10.0,0.0,45.0,0.0,10.0,0.0,5.4371437940990655,5.899789077150139,6.4336997263734235,5.88759081514973,30
2018-06-05_11-26-57,dummyR.bot,1.25,50.0,15.0,10.0,1.0,0.0,0.0,10.0,0.0,5.269095936898322,5.591424233661614,6.312363478863803,5.510403044851858,31
2018-06-05_11-26-57,dummyR.bot,1.25,50.0,15.0,10.0,1.0,45.0,0.0,10.0,0.0,5.341951029659944,5.611097661997193,6.289041667554753,5.6425921378278625,32
2018-06-05_11-26-57,avg_clean_seagrass,1.25,5.0,5.0,1.0,0.0,0.0,0.0,10.0,0.0,1.4316238383774915,1.3155186889001518,1.3186413769531509,1.3648125963933415,33
2018-06-05_11-26-57,avg_clean_seagrass,1.25,5.0,5.0,1.0,0.0,45.0,0.0,10.0,0.0,1.6187023320698959,1.4619875013960208,1.5225272607648672,1.5285125335273837,34
2018-06-05_11-26-57,avg_clean_seagrass,1.25,5.0,5.0,1.0,1.0,0.0,0.0,10.0,0.0,1.4875604981088442,1.4548347436076936,1.3798288803842615,1.5342816909542594,35
2018-06-05_11-26-57,avg_clean_seagrass,1.25,5.0,5.0,1.0,1.0,45.0,0.0,10.0,0.0,1.4870721084285918,1.3239920887449943,1.4991724438583602,1.464113113945996,36
2018-06-05_11-26-57,avg_clean_seagrass,1.25,5.0,5.0,10.0,0.0,0.0,0.0,10.0,0.0,2.3145365530343067,2.3397048148609554,2.6796161853325837,2.392471829137864,37
2018-06-05_11-26-57,avg_clean_seagrass,1.25,5.0,5.0,10.0,0.0,45.0,0.0,10.0,0.0,2.5850596624027298,2.6344418341307154,2.8356775525087468,2.6191647920923913,38
2018-06-05_11-26-57,avg_clean_seagrass,1.25,5.0,5.0,10.0,1.0,0.0,0.0,10.0,0.0,2.3958024614523983,2.419623294460001,2.8400723617399355,2.491019489086007,39
2018-06-05_11-26-57,avg_clean_seagrass,1.25,5.0,5.0,10.0,1.0,45.0,0.0,10.0,0.0,2.403034230516443,2.4297196133655508,2.847135178076867,2.562553390949503,40
2018-06-05_11-26-57,avg_clean_seagrass,1.25,5.0,15.0,1.0,0.0,0.0,0.0,10.0,0.0,3.12900565907222,2.9683694586534872,3.2070643284557567,3.0492895437548686,41
2018-06-05_11-26-57,avg_clean_seagrass,1.25,5.0,15.0,1.0,0.0,45.0,0.0,10.0,0.0,3.7100218426267366,3.563017146560043,3.5910214587736538,3.6300832755138286,42
2018-06-05_11-26-57,avg_clean_seagrass,1.25,5.0,15.0,1.0,1.0,0.0,0.0,10.0,0.0,3.4525046966027317,3.4099447497834827,3.2956082918771314,3.419549274551058,43
2018-06-05_11-26-57,avg_clean_seagrass,1.25,5.0,15.0,1.0,1.0,45.0,0.0,10.0,0.0,3.4157235666682886,3.4056580164500336,3.5293674486120223,3.4522176316841016,44
2018-06-05_11-26-57,avg_clean_seagrass,1.25,5.0,15.0,10.0,0.0,0.0,0.0,10.0,0.0,4.228580874035723,4.3901723613213495,4.622086441842233,4.3783798737326665,45
2018-06-05_11-26-57,avg_clean_seagrass,1.25,5.0,15.0,10.0,0.0,45.0,0.0,10.0,0.0,4.702597868083386,4.714407395212086,5.027431127890422,4.884305895851612,46
2018-06-05_11-26-57,avg_clean_seagrass,1.25,5.0,15.0,10.0,1.0,0.0,0.0,10.0,0.0,4.516509583220741,4.609777023049765,4.935829365042734,4.576839285120588,47
2018-06-05_11-26-57,avg_clean_seagrass,1.25,5.0,15.0,10.0,1.0,45.0,0.0,10.0,0.0,4.5472789187022045,4.670831654360794,4.8861857394345165,4.707423467756213,48
2018-06-05_11-26-57,avg_clean_seagrass,1.25,50.0,5.0,1.0,0.0,0.0,0.0,10.0,0.0,1.9714099711646536,2.1837268184221323,2.6459692935509467,2.210617426322161,49
2018-06-05_11-26-57,avg_clean_seagrass,1.25,50.0,5.0,1.0,0.0,45.0,0.0,10.0,0.0,2.4283827064254915,2.551918058942848,3.1341822588791968,2.6580342687123006,50
2018-06-05_11-26-57,avg_clean_seagrass,1.25,50.0,5.0,1.0,1.0,0.0,0.0,10.0,0.0,2.2290627844584514,2.4696058370617706,3.0427989864670932,2.4884461611478224,51
2018-06-05_11-26-57,avg_clean_seagrass,1.25,50.0,5.0,1.0,1.0,45.0,0.0,10.0,0.0,2.3257584213252063,2.495164922544303,3.0110316882785977,2.5173138139730225,52
2018-06-05_11-26-57,avg_clean_seagrass,1.25,50.0,5.0,10.0,0.0,0.0,0.0,10.0,0.0,3.0662788578705094,3.469115424607831,4.019382469559183,3.266815568366212,53
2018-06-05_11-26-57,avg_clean_seagrass,1.25,50.0,5.0,10.0,0.0,45.0,0.0,10.0,0.0,3.3663854076440023,3.710604691157294,4.276967476740778,3.645612589176476,54
2018-06-05_11-26-57,avg_clean_seagrass,1.25,50.0,5.0,10.0,1.0,0.0,0.0,10.0,0.0,3.1517801695550287,3.5028311992863936,4.2311638108231815,3.4510061066312274,55
2018-06-05_11-26-57,avg_clean_seagrass,1.25,50.0,5.0,10.0,1.0,45.0,0.0,10.0,0.0,3.2548453000729247,3.6060488791820653,4.207144972760928,3.58482268657522,56
2018-06-05_11-26-57,avg_clean_seagrass,1.25,50.0,15.0,1.0,0.0,0.0,0.0,10.0,0.0,3.8692554055538304,4.015390315367558,4.550377068460387,4.063110683414588,57
2018-06-05_11-26-57,avg_clean_seagrass,1.25,50.0,15.0,1.0,0.0,45.0,0.0,10.0,0.0,4.486928246055396,4.6963262026846655,5.227661375580436,4.749948259796435,58
2018-06-05_11-26-57,avg_clean_seagrass,1.25,50.0,15.0,1.0,1.0,0.0,0.0,10.0,0.0,4.262292607427739,4.356106903499024,4.954166534521405,4.479590107947669,59
2018-06-05_11-26-57,avg_clean_seagrass,1.25,50.0,15.0,1.0,1.0,45.0,0.0,10.0,0.0,4.33827391777913,4.369410529190575,5.018057535831332,4.50628311490546,60
2018-06-05_11-26-57,avg_clean_seagrass,1.25,50.0,15.0,10.0,0.0,0.0,0.0,10.0,0.0,5.132952981855599,5.310691269084008,6.044197488171988,5.242696752081033,61
2018-06-05_11-26-57,avg_clean_seagrass,1.25,50.0,15.0,10.0,0.0,45.0,0.0,10.0,0.0,5.494041271117582,5.816346780238942,6.2837917846157065,5.766504087144956,62
2018-06-05_11-26-57,avg_clean_seagrass,1.25,50.0,15.0,10.0,1.0,0.0,0.0,10.0,0.0,5.217528714781619,5.706925700075332,6.255151146531961,5.526528101802634,63
2018-06-05_11-26-57,avg_clean_seagrass,1.25,50.0,15.0,10.0,1.0,45.0,0.0,10.0,0.0,5.4405727578969465,5.771466142636527,6.333363267084687,5.552839903439241,64
