date,bottom,depth,chl,cdom,mineral,cloud,suntheta,windspeed,temp,salinity,BLUE,GREEN,RED,CLEAR,name
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,5.0,1.0,0.0,0.0,0.0,10.0,0.0,1.3384449378352177,1.230094808413016,1.3031456885078363,1.2766465743938906,1
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,5.0,1.0,0.0,45.0,0.0,10.0,0.0,1.5911062497593178,1.4587602682985652,1.5353553531992568,1.5141883772626632,2
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,5.0,1.0,1.0,0.0,0.0,10.0,0.0,1.49915795911762,1.3764978402683845,1.4506143417225037,1.4282052506534435,3
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,5.0,1.0,1.0,45.0,0.0,10.0,0.0,1.5160626048031165,1.391465421418265,1.4662152639262769,1.4438765190362028,4
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,5.0,10.0,0.0,0.0,0.0,10.0,0.0,2.260092276784768,2.3580425988660583,2.6414461827719027,2.380727743639861,5
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,5.0,10.0,0.0,45.0,0.0,10.0,0.0,2.514763926048928,2.588897566561644,2.8712875325089864,2.6193611712220197,6
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,5.0,10.0,1.0,0.0,0.0,10.0,0.0,2.4233750624450696,2.507074527520864,2.7913011490337327,2.535862663560956,7
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,5.0,10.0,1.0,45.0,0.0,10.0,0.0,2.43769987753374,2.5193818680835998,2.801337935478286,2.5472005664022146,8
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,15.0,1.0,0.0,0.0,0.0,10.0,0.0,3.1564720664429022,3.0573024252224537,3.1359365499597724,3.102548295943333,9
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,15.0,1.0,0.0,45.0,0.0,10.0,0.0,3.719513412975461,3.5859050583758303,3.655411818099972,3.639704559797943,10
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,15.0,1.0,1.0,0.0,0.0,10.0,0.0,3.487855018331313,3.3712190452878636,3.443883343487144,3.4206756753185985,11
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,15.0,1.0,1.0,45.0,0.0,10.0,0.0,3.5223622112582205,3.4038137464563314,3.4768183930112966,3.4538753011669514,12
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,15.0,10.0,0.0,0.0,0.0,10.0,0.0,4.311970890550478,4.440311161280341,4.718536048421589,4.449151099070441,13
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,15.0,10.0,0.0,45.0,0.0,10.0,0.0,4.717602718741673,4.805248114724299,5.072989028622218,4.827160725185529,14
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,15.0,10.0,1.0,0.0,0.0,10.0,0.0,4.560453382893463,4.666352915226974,4.940162305726343,4.683942760108309,15
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,15.0,10.0,1.0,45.0,0.0,10.0,0.0,4.582585937640259,4.686045382272207,4.957205293135623,4.702735019844589,16
2018-06-05_11-26-57,dummyR.bot,1.25,50.0,5.0,1.0,0.0,0.0,0.0,10.0,0.0,2.043654163902533,2.2181447301347292,2.751373291693482,2.2409719759516906,17
2018-06-05_11-26-57,dummyR.bot,1.25,50.0,5.0,1.0,0.0,45.0,0.0,10.0,0.0,2.417427045377844,2.5927155268672446,3.1649315815199976,2.61440596714008,18
2018-06-05_11-26-57,dummyR.bot,1.25,50.0,5.0,1.0,1.0,0.0,0.0,10.0,0.0,2.275069816269597,2.4507458370455257,3.0088108690589914,2.4744971809380267,19
2018-06-05_11-26-57,dummyR.bot,1.25,50.0,5.0,1.0,1.0,45.0,0.0,10.0,0.0,2.2982505943165434,2.472413022323477,3.0277617863729787,2.4942127506837184,20
2018-06-05_11-26-57,dummyR.bot,1.25,50.0,5.0,10.0,0.0,0.0,0.0,10.0,0.0,3.0380571568214925,3.3847769530950225,3.982698627144395,3.3173667826314737,21
2018-06-05_11-26-57,dummyR.bot,1.25,50.0,5.0,10.0,0.0,45.0,0.0,10.0,0.0,3.3532873437366275,3.673609278768,4.261936132623181,3.609540582929807,22
2018-06-05_11-26-57,dummyR.bot,1.25,50.0,5.0,10.0,1.0,0.0,0.0,10.0,0.0,3.2358672089787484,3.5683809989413082,4.166653811783891,3.5046552048477677,23
2018-06-05_11-26-57,dummyR.bot,1.25,50.0,5.0,10.0,1.0,45.0,0.0,10.0,0.0,3.2535651638030343,3.5826342263802897,4.1722607227428234,3.51701093720294,24
2018-06-05_11-26-57,dummyR.bot,1.25,50.0,15.0,1.0,0.0,0.0,0.0,10.0,0.0,3.8533305992540217,4.030446475223031,4.5550541635714845,4.050472238960125,25
2018-06-05_11-26-57,dummyR.bot,1.25,50.0,15.0,1.0,0.0,45.0,0.0,10.0,0.0,4.523483596862816,4.6896575089767385,5.239642695808012,4.712940120410641,26
2018-06-05_11-26-57,dummyR.bot,1.25,50.0,15.0,1.0,1.0,0.0,0.0,10.0,0.0,4.238234506413694,4.410931812866584,4.950255777335063,4.433761445720208,27
2018-06-05_11-26-57,dummyR.bot,1.25,50.0,15.0,1.0,1.0,45.0,0.0,10.0,0.0,4.277428191722138,4.448299830573536,4.98449079320468,4.469324143311535,28
2018-06-05_11-26-57,dummyR.bot,1.25,50.0,15.0,10.0,0.0,0.0,0.0,10.0,0.0,5.045483708698678,5.405612579035653,5.986392299631122,5.329813545412713,29
2018-06-05_11-26-57,dummyR.bot,1.25,50.0,15.0,10.0,0.0,45.0,0.0,10.0,0.0,5.4949673461171935,5.8161343814726285,6.390537049784972,5.751812256034483,30
2018-06-05_11-26-57,dummyR.bot,1.25,50.0,15.0,10.0,1.0,0.0,0.0,10.0,0.0,5.317143274769702,5.657098630525081,6.240180377464968,5.5893509294988775,31
2018-06-05_11-26-57,dummyR.bot,1.25,50.0,15.0,10.0,1.0,45.0,0.0,10.0,0.0,5.341555747519201,5.677635351654142,6.252252443931935,5.608251036084193,32
2018-06-05_11-26-57,avg_clean_seagrass,1.25,5.0,5.0,1.0,0.0,0.0,0.0,10.0,0.0,1.3384449378352177,1.230094808413016,1.3031456885078363,1.2766465743938906,33
2018-06-05_11-26-57,avg_clean_seagrass,1.25,5.0,5.0,1.0,0.0,45.0,0.0,10.0,0.0,1.5911062497593178,1.4587602682985652,1.5353553531992568,1.5141883772626632,34
2018-06-05_11-26-57,avg_clean_seagrass,1.25,5.0,5.0,1.0,1.0,0.0,0.0,10.0,0.0,1.49915795911762,1.3764978402683845,1.4506143417225037,1.4282052506534435,35
2018-06-05_11-26-57,avg_clean_seagrass,1.25,5.0,5.0,1.0,1.0,45.0,0.0,10.0,0.0,1.5160626048031165,1.391465421418265,1.4662152639262769,1.4438765190362028,36
2018-06-05_11-26-57,avg_clean_seagrass,1.25,5.0,5.0,10.0,0.0,0.0,0.0,10.0,0.0,2.260092276784768,2.3580425988660583,2.6414461827719027,2.380727743639861,37
2018-06-05_11-26-57,avg_clean_seagrass,1.25,5.0,5.0,10.0,0.0,45.0,0.0,10.0,0.0,2.514763926048928,2.588897566561644,2.8712875325089864,2.6193611712220197,38
2018-06-05_11-26-57,avg_clean_seagrass,1.25,5.0,5.0,10.0,1.0,0.0,0.0,10.0,0.0,2.4233750624450696,2.507074527520864,2.7913011490337327,2.535862663560956,39
2018-06-05_11-26-57,avg_clean_seagrass,1.25,5.0,5.0,10.0,1.0,45.0,0.0,10.0,0.0,2.43769987753374,2.5193818680835998,2.801337935478286,2.5472005664022146,40
2018-06-05_11-26-57,avg_clean_seagrass,1.25,5.0,15.0,1.0,0.0,0.0,0.0,10.0,0.0,3.1564720664429022,3.0573024252224537,3.1359365499597724,3.102548295943333,41
2018-06-05_11-26-57,avg_clean_seagrass,1.25,5.0,15.0,1.0,0.0,45.0,0.0,10.0,0.0,3.719513412975461,3.5859050583758303,3.655411818099972,3.639704559797943,42
2018-06-05_11-26-57,avg_clean_seagrass,1.25,5.0,15.0,1.0,1.0,0.0,0.0,10.0,0.0,3.487855018331313,3.3712190452878636,3.443883343487144,3.4206756753185985,43
2018-06-05_11-26-57,avg_clean_seagrass,1.25,5.0,15.0,1.0,1.0,45.0,0.0,10.0,0.0,3.5223622112582205,3.4038137464563314,3.4768183930112966,3.4538753011669514,44
2018-06-05_11-26-57,avg_clean_seagrass,1.25,5.0,15.0,10.0,0.0,0.0,0.0,10.0,0.0,4.311970890550478,4.440311161280341,4.718536048421589,4.449151099070441,45
2018-06-05_11-26-57,avg_clean_seagrass,1.25,5.0,15.0,10.0,0.0,45.0,0.0,10.0,0.0,4.717602718741673,4.805248114724299,5.072989028622218,4.827160725185529,46
2018-06-05_11-26-57,avg_clean_seagrass,1.25,5.0,15.0,10.0,1.0,0.0,0.0,10.0,0.0,4.560453382893463,4.666352915226974,4.940162305726343,4.683942760108309,47
2018-06-05_11-26-57,avg_clean_seagrass,1.25,5.0,15.0,10.0,1.0,45.0,0.0,10.0,0.0,4.582585937640259,4.686045382272207,4.957205293135623,4.702735019844589,48
