date,bottom,depth,chl,cdom,mineral,cloud,suntheta,windspeed,temp,salinity,BLUE,GREEN,RED,CLEAR,name
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,5.0,1.0,0.0,0.0,0.0,10.0,0.0,1.4942263758587098,1.319864723215154,1.3109063171196134,1.1746924286405038,1
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,5.0,1.0,0.0,45.0,0.0,10.0,0.0,1.5665599164943744,1.4969663287677093,1.448686529334129,1.5692228573538896,2
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,5.0,1.0,1.0,0.0,0.0,10.0,0.0,1.6689145002304775,1.3820202159949917,1.3509116604062636,1.452751444540164,3
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,5.0,1.0,1.0,45.0,0.0,10.0,0.0,1.5191268235418365,1.3224617459710772,1.4112234892141036,1.5776989040991607,4
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,5.0,10.0,0.0,0.0,0.0,10.0,0.0,2.230073640232661,2.3654856757620046,2.5859132599138674,2.3577577214014482,5
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,5.0,10.0,0.0,45.0,0.0,10.0,0.0,2.490756826954573,2.6092787334819554,2.6916976137338837,2.5416197602187265,6
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,5.0,10.0,1.0,0.0,0.0,10.0,0.0,2.452704647733465,2.5185019734837115,2.9424909185444803,2.5684840705760457,7
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,5.0,10.0,1.0,45.0,0.0,10.0,0.0,2.5468847096267284,2.668923434583791,2.754822331657196,2.5310443986504283,8
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,15.0,1.0,0.0,0.0,0.0,10.0,0.0,3.2125087820864477,2.8279973294283374,3.0896033118202526,3.126870322388665,9
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,15.0,1.0,0.0,45.0,0.0,10.0,0.0,3.755932285045725,3.5833683625173576,3.6880372218972837,3.6125225664703087,10
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,15.0,1.0,1.0,0.0,0.0,10.0,0.0,3.4343681494833014,3.4086184558863764,3.301617498830129,3.3800926938413016,11
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,15.0,1.0,1.0,45.0,0.0,10.0,0.0,3.426067607777625,3.570594362458354,3.5146219404824404,3.402121276801988,12
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,15.0,10.0,0.0,0.0,0.0,10.0,0.0,4.3261632085495165,4.474057634813142,4.6896846519215485,4.495220124111425,13
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,15.0,10.0,0.0,45.0,0.0,10.0,0.0,4.767551653087138,4.934958840178718,4.897670174380422,4.797093306656122,14
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,15.0,10.0,1.0,0.0,0.0,10.0,0.0,4.634395911604844,4.655327126557088,4.9460901358554725,4.699057722879298,15
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,15.0,10.0,1.0,45.0,0.0,10.0,0.0,4.548229283673749,4.710749393796745,5.068170971134227,4.7120399585192185,16
