date,bottom,depth,chl,cdom,mineral,cloud,suntheta,windspeed,temp,salinity,BLUE,GREEN,RED,CLEAR,name
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,5.0,1.0,0.0,0.0,0.0,10.0,0.0,1.2715260757454512,1.2288265747775344,1.2313749644596672,1.3037812298946343,1
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,5.0,1.0,0.0,45.0,0.0,10.0,0.0,1.5432009938795663,1.5285399971622513,1.4551789213449475,1.4709630587262683,2
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,5.0,1.0,1.0,0.0,0.0,10.0,0.0,1.5006120829025646,1.4371497097149382,1.404831302468225,1.4116705039412631,3
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,5.0,1.0,1.0,45.0,0.0,10.0,0.0,1.5285448819622134,1.3637067070159252,1.4603656401940992,1.4907774849309918,4
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,5.0,10.0,0.0,0.0,0.0,10.0,0.0,2.210720718403281,2.3758829538175776,2.6605971422370747,2.4537581774786554,5
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,5.0,10.0,0.0,45.0,0.0,10.0,0.0,2.549567665345936,2.6018680899836117,2.90357859901014,2.5460307932484363,6
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,5.0,10.0,1.0,0.0,0.0,10.0,0.0,2.4375009250421398,2.4212289662548208,2.73405561892459,2.5369607931657168,7
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,5.0,10.0,1.0,45.0,0.0,10.0,0.0,2.489764229383521,2.54148779675091,2.810501342870663,2.5678561339315897,8
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,15.0,1.0,0.0,0.0,0.0,10.0,0.0,3.0931996691773374,3.1047106848496497,3.1834415776812865,3.0826197635495136,9
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,15.0,1.0,0.0,45.0,0.0,10.0,0.0,3.7953877629507695,3.6289185277933185,3.710238490123056,3.641667249198924,10
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,15.0,1.0,1.0,0.0,0.0,10.0,0.0,3.4689370178989822,3.4153088187505563,3.3750262527398216,3.3950399956237165,11
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,15.0,1.0,1.0,45.0,0.0,10.0,0.0,3.493717047844035,3.428044182101424,3.4736416484769257,3.4089920121411224,12
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,15.0,10.0,0.0,0.0,0.0,10.0,0.0,4.288299619053883,4.43248623823599,4.70427207159871,4.43087595732495,13
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,15.0,10.0,0.0,45.0,0.0,10.0,0.0,4.650289321351946,4.84808764863953,5.09242243059341,4.850849222754647,14
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,15.0,10.0,1.0,0.0,0.0,10.0,0.0,4.5623449943104495,4.6703725915871726,4.910944627604309,4.668992049986732,15
2018-06-05_11-26-57,dummyR.bot,1.25,5.0,15.0,10.0,1.0,45.0,0.0,10.0,0.0,4.5293398734898185,4.72501126809345,4.933588889604212,4.699550369704365,16
2018-06-05_11-26-57,dummyR.bot,1.25,50.0,5.0,1.0,0.0,0.0,0.0,10.0,0.0,1.9873868945507156,2.2324196561687164,2.7434879207219427,2.1658729706920585,17
2018-06-05_11-26-57,dummyR.bot,1.25,50.0,5.0,1.0,0.0,45.0,0.0,10.0,0.0,2.438961975717066,2.6471226324909534,3.1649971800307055,2.5528821042159957,18
2018-06-05_11-26-57,dummyR.bot,1.25,50.0,5.0,1.0,1.0,0.0,0.0,10.0,0.0,2.2355334288993283,2.4964935755210123,3.0038097893226614,2.503007254391915,19
2018-06-05_11-26-57,dummyR.bot,1.25,50.0,5.0,1.0,1.0,45.0,0.0,10.0,0.0,2.294309812049545,2.387288461941582,3.0691358693719684,2.431318474506176,20
2018-06-05_11-26-57,dummyR.bot,1.25,50.0,5.0,10.0,0.0,0.0,0.0,10.0,0.0,3.001253778621628,3.3175966185972148,3.988274060438511,3.320633380335717,21
2018-06-05_11-26-57,dummyR.bot,1.25,50.0,5.0,10.0,0.0,45.0,0.0,10.0,0.0,3.341319275808301,3.731000238755345,4.333961540891295,3.6090996912884927,22
2018-06-05_11-26-57,dummyR.bot,1.25,50.0,5.0,10.0,1.0,0.0,0.0,10.0,0.0,3.2697051205273038,3.5518687081664746,4.15956218876579,3.5472769666244197,23
2018-06-05_11-26-57,dummyR.bot,1.25,50.0,5.0,10.0,1.0,45.0,0.0,10.0,0.0,3.231946414578083,3.6069763145366864,4.227450655256819,3.4995151060222405,24
2018-06-05_11-26-57,dummyR.bot,1.25,50.0,15.0,1.0,0.0,0.0,0.0,10.0,0.0,3.8948679448615846,3.9910720438275424,4.544479630774432,3.99567466390518,25
2018-06-05_11-26-57,dummyR.bot,1.25,50.0,15.0,1.0,0.0,45.0,0.0,10.0,0.0,4.5234832125185545,4.7308836481358725,5.2688313510732945,4.71997399973846,26
2018-06-05_11-26-57,dummyR.bot,1.25,50.0,15.0,1.0,1.0,0.0,0.0,10.0,0.0,4.286399634975357,4.366751318717589,4.938224991341864,4.4263172896957315,27
2018-06-05_11-26-57,dummyR.bot,1.25,50.0,15.0,1.0,1.0,45.0,0.0,10.0,0.0,4.230725751094374,4.427480154064664,5.051105678790645,4.543124597070839,28
2018-06-05_11-26-57,dummyR.bot,1.25,50.0,15.0,10.0,0.0,0.0,0.0,10.0,0.0,5.045840594939094,5.4244225077440165,6.000778345622126,5.305516550428826,29
2018-06-05_11-26-57,dummyR.bot,1.25,50.0,15.0,10.0,0.0,45.0,0.0,10.0,0.0,5.546243914032651,5.725673118159157,6.48430741045124,5.752778409718088,30
2018-06-05_11-26-57,dummyR.bot,1.25,50.0,15.0,10.0,1.0,0.0,0.0,10.0,0.0,5.2756114027450725,5.587609132301303,6.197223102075193,5.593027734875856,31
2018-06-05_11-26-57,dummyR.bot,1.25,50.0,15.0,10.0,1.0,45.0,0.0,10.0,0.0,5.260428989091734,5.69727106423715,6.271779907280494,5.628145923251313,32
2018-06-05_11-26-57,avg_clean_seagrass,1.25,5.0,5.0,1.0,0.0,0.0,0.0,10.0,0.0,1.306891142461574,1.1625937186532032,1.2671827502708164,1.2210529398003027,33
2018-06-05_11-26-57,avg_clean_seagrass,1.25,5.0,5.0,1.0,0.0,45.0,0.0,10.0,0.0,1.5997411121000995,1.3754036600917101,1.4826530444562382,1.4929892150671626,34
2018-06-05_11-26-57,avg_clean_seagrass,1.25,5.0,5.0,1.0,1.0,0.0,0.0,10.0,0.0,1.5319538096914336,1.3269574397516368,1.4294445649824676,1.4433051363442448,35
2018-06-05_11-26-57,avg_clean_seagrass,1.25,5.0,5.0,1.0,1.0,45.0,0.0,10.0,0.0,1.5105545832655345,1.43716958850194,1.5000927373200517,1.3466941712737546,36
2018-06-05_11-26-57,avg_clean_seagrass,1.25,5.0,5.0,10.0,0.0,0.0,0.0,10.0,0.0,2.2192610738838576,2.298043283805894,2.6723252540604845,2.330867940510764,37
2018-06-05_11-26-57,avg_clean_seagrass,1.25,5.0,5.0,10.0,0.0,45.0,0.0,10.0,0.0,2.5317236655284336,2.609174966191959,2.8971469164001817,2.660756790007421,38
2018-06-05_11-26-57,avg_clean_seagrass,1.25,5.0,5.0,10.0,1.0,0.0,0.0,10.0,0.0,2.459182703964517,2.4866026224722555,2.7855739127764503,2.5309727873519683,39
2018-06-05_11-26-57,avg_clean_seagrass,1.25,5.0,5.0,10.0,1.0,45.0,0.0,10.0,0.0,2.468606349744096,2.5287067783992203,2.771916500815578,2.5056125800699047,40
2018-06-05_11-26-57,avg_clean_seagrass,1.25,5.0,15.0,1.0,0.0,0.0,0.0,10.0,0.0,3.077054990745145,3.0626008794714226,3.0599826635884826,3.2139921530684683,41
2018-06-05_11-26-57,avg_clean_seagrass,1.25,5.0,15.0,1.0,0.0,45.0,0.0,10.0,0.0,3.776831696452152,3.561362360458005,3.6342161929822767,3.577631530542152,42
2018-06-05_11-26-57,avg_clean_seagrass,1.25,5.0,15.0,1.0,1.0,0.0,0.0,10.0,0.0,3.4846746944273566,3.3522953502639705,3.5329527326249157,3.4407351074703163,43
2018-06-05_11-26-57,avg_clean_seagrass,1.25,5.0,15.0,1.0,1.0,45.0,0.0,10.0,0.0,3.4963862002448463,3.3937434263247903,3.4580378149033986,3.453114339801701,44
2018-06-05_11-26-57,avg_clean_seagrass,1.25,5.0,15.0,10.0,0.0,0.0,0.0,10.0,0.0,4.32306924420644,4.4307113410393635,4.72434482007539,4.365236667127965,45
2018-06-05_11-26-57,avg_clean_seagrass,1.25,5.0,15.0,10.0,0.0,45.0,0.0,10.0,0.0,4.705258964226943,4.792540553692817,5.0902313558606505,4.804399055715675,46
2018-06-05_11-26-57,avg_clean_seagrass,1.25,5.0,15.0,10.0,1.0,0.0,0.0,10.0,0.0,4.577041130479612,4.687336702833602,4.964714520389659,4.729927491490233,47
2018-06-05_11-26-57,avg_clean_seagrass,1.25,5.0,15.0,10.0,1.0,45.0,0.0,10.0,0.0,4.656558843153283,4.662904572917034,4.9404145593202315,4.765916998749161,48
2018-06-05_11-26-57,avg_clean_seagrass,1.25,50.0,5.0,1.0,0.0,0.0,0.0,10.0,0.0,2.040473970025813,2.2014890216001954,2.7575818901449245,2.1768002463233285,49
2018-06-05_11-26-57,avg_clean_seagrass,1.25,50.0,5.0,1.0,0.0,45.0,0.0,10.0,0.0,2.360388911193376,2.6296321225266763,3.1509544387746287,2.6205790736036967,50
2018-06-05_11-26-57,avg_clean_seagrass,1.25,50.0,5.0,1.0,1.0,0.0,0.0,10.0,0.0,2.2014014002027027,2.4417665203260794,2.996982899025317,2.51020888357914,51
2018-06-05_11-26-57,avg_clean_seagrass,1.25,50.0,5.0,1.0,1.0,45.0,0.0,10.0,0.0,2.2776346840522934,2.4148071018871238,3.056164028010296,2.461963290237461,52
2018-06-05_11-26-57,avg_clean_seagrass,1.25,50.0,5.0,10.0,0.0,0.0,0.0,10.0,0.0,2.9676339939782106,3.45271939323045,3.947714196389688,3.2593946680345964,53
2018-06-05_11-26-57,avg_clean_seagrass,1.25,50.0,5.0,10.0,0.0,45.0,0.0,10.0,0.0,3.332555454250254,3.632034038654837,4.282802482125542,3.593205708608346,54
2018-06-05_11-26-57,avg_clean_seagrass,1.25,50.0,5.0,10.0,1.0,0.0,0.0,10.0,0.0,3.269903583113924,3.5274225752582997,4.225983452674877,3.456796983294757,55
2018-06-05_11-26-57,avg_clean_seagrass,1.25,50.0,5.0,10.0,1.0,45.0,0.0,10.0,0.0,3.331974339999056,3.617084901363168,4.117246080777886,3.5074008306155187,56
2018-06-05_11-26-57,avg_clean_seagrass,1.25,50.0,15.0,1.0,0.0,0.0,0.0,10.0,0.0,3.856340591836803,4.057834833867538,4.503005073944256,4.0267190512522,57
2018-06-05_11-26-57,avg_clean_seagrass,1.25,50.0,15.0,1.0,0.0,45.0,0.0,10.0,0.0,4.508520287235576,4.6663714464617065,5.206348066253961,4.740377844908541,58
2018-06-05_11-26-57,avg_clean_seagrass,1.25,50.0,15.0,1.0,1.0,0.0,0.0,10.0,0.0,4.210757008391963,4.454662270193296,4.936988882283231,4.498765316608957,59
2018-06-05_11-26-57,avg_clean_seagrass,1.25,50.0,15.0,1.0,1.0,45.0,0.0,10.0,0.0,4.2525719491336265,4.4436366369458185,5.078101094856163,4.442098448629264,60
2018-06-05_11-26-57,avg_clean_seagrass,1.25,50.0,15.0,10.0,0.0,0.0,0.0,10.0,0.0,5.005217304903606,5.399186429206675,5.91863472179161,5.37489352687626,61
2018-06-05_11-26-57,avg_clean_seagrass,1.25,50.0,15.0,10.0,0.0,45.0,0.0,10.0,0.0,5.489098021023215,5.820795996603854,6.419327411713947,5.771190464701612,62
2018-06-05_11-26-57,avg_clean_seagrass,1.25,50.0,15.0,10.0,1.0,0.0,0.0,10.0,0.0,5.291921090852608,5.651940457771064,6.221087605667057,5.570145267342039,63
2018-06-05_11-26-57,avg_clean_seagrass,1.25,50.0,15.0,10.0,1.0,45.0,0.0,10.0,0.0,5.296406505699901,5.725207575970983,6.2865631205387364,5.644703454164328,64
