date,bottom,depth,chl,cdom,mineral,cloud,suntheta,windspeed,temp,salinity,BLUE,GREEN,RED,CLEAR,name
2018-06-15_10-17-39,dummyR.bot,1.25,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.2767343067036685,0.0875333753445148,0.061782611499340924,0.12283042682470885,1
2018-06-15_10-19-25,dummyR.bot,1.25,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.4461749672888167,0.34220454928459776,0.4496122124486409,0.3924373405873997,2
2018-06-15_10-20-56,dummyR.bot,1.25,15.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.5280007259084399,0.4643554752839799,0.6359259482734722,0.5190105244142651,3
2018-06-15_10-21-51,dummyR.bot,1.25,20.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.6084490465919272,0.5834677349823766,0.817494018542575,0.6409359661427121,4
2018-06-15_10-22-34,dummyR.bot,1.25,17.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.5603373635992668,0.5123566430883478,0.7091305629438832,0.5683237796488868,5
2018-06-15_10-25-06,dummyR.bot,1.25,0.0,7.0,0.0,0.0,0.0,0.0,10.0,0.0,1.5395226499040449,1.3560536073065943,1.3386823912403585,1.3928495773229854,6
2018-06-15_10-25-44,dummyR.bot,1.25,0.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,1.179923038449146,0.994884944480426,0.975659464101224,1.0315381163912776,7
2018-06-15_10-26-24,dummyR.bot,1.25,0.0,4.0,0.0,0.0,0.0,0.0,10.0,0.0,0.9998630457722324,0.8139893569370292,0.7937728057615484,0.8505640413034611,8
2018-06-15_10-27-30,dummyR.bot,1.25,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,2.077743280928193,1.8963923509315728,1.8815138846713224,1.933374116035904,9
2018-06-15_10-28-09,dummyR.bot,1.25,0.0,0.0,3.0,0.0,0.0,0.0,10.0,0.0,0.4662545841205088,0.31697392708704225,0.3605241277730433,0.3622115708443115,10
2018-06-15_10-28-43,dummyR.bot,1.25,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.6011600026458414,0.4879331086566498,0.5850330755193577,0.538007735527405,11
2018-06-15_10-30-10,dummyR.bot,1.25,0.0,0.0,6.0,0.0,0.0,0.0,10.0,0.0,0.6703412744673157,0.5773787850172565,0.7017881513138798,0.628690230726406,12
2018-06-15_10-31-00,dummyR.bot,1.25,0.0,0.0,4.0,0.0,0.0,0.0,10.0,0.0,0.533068482051948,0.4009698786671157,0.4710084599321661,0.4490099682027575,13
2018-06-15_10-33-40,avg_seagrass,1.25,15.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.5280007259084399,0.4643554752839799,0.6359259482734722,0.5190105244142651,14
2018-06-15_10-37-15,avg_seagrass,1.25,0.0,7.0,0.0,0.0,0.0,0.0,10.0,0.0,1.5395226499040449,1.3560536073065943,1.3386823912403585,1.3928495773229854,15
2018-06-15_10-37-52,avg_seagrass,1.25,0.0,0.0,4.0,0.0,0.0,0.0,10.0,0.0,0.533068482051948,0.4009698786671157,0.4710084599321661,0.4490099682027575,16
