date,bottom,depth,chl,cdom,mineral,cloud,suntheta,windspeed,temp,salinity,BLUE,GREEN,RED,CLEAR,name
2018-06-15_10-17-39,dummyR.bot,1.25,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.2482794394543601,0.12555509368245474,0.05501040021790693,0.12457760672528947,1
2018-06-15_10-19-25,dummyR.bot,1.25,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.3966153418300372,0.3002801235860839,0.4815505110853888,0.3482478713440817,2
2018-06-15_10-20-56,dummyR.bot,1.25,15.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.4993971659194384,0.4940814294203877,0.5962995649610755,0.4765856139112508,3
2018-06-15_10-21-51,dummyR.bot,1.25,20.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.5526806043369957,0.5676965803149223,0.8351932290681939,0.6460450009974843,4
2018-06-15_10-22-34,dummyR.bot,1.25,17.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.499242831441086,0.5063553664315557,0.7116254580861326,0.5600606728551112,5
2018-06-15_10-25-06,dummyR.bot,1.25,0.0,7.0,0.0,0.0,0.0,0.0,10.0,0.0,1.5558316040817215,1.3477571632818823,1.3473705747943183,1.3683290504780778,6
2018-06-15_10-25-44,dummyR.bot,1.25,0.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,1.1744082213099003,0.9784161566735776,0.9576067668664529,1.0074979805424482,7
2018-06-15_10-26-24,dummyR.bot,1.25,0.0,4.0,0.0,0.0,0.0,0.0,10.0,0.0,0.9282966872737992,0.8196096072688617,0.7796284694496833,0.8897297823751301,8
2018-06-15_10-27-30,dummyR.bot,1.25,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0900501411279606,1.8320295331718723,1.9136193032162931,1.8920358935996813,9
2018-06-15_10-28-09,dummyR.bot,1.25,0.0,0.0,3.0,0.0,0.0,0.0,10.0,0.0,0.4664845211991632,0.3459689470191956,0.3787968987143701,0.3393323527866533,10
2018-06-15_10-28-43,dummyR.bot,1.25,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.6241128674690496,0.493671260915948,0.5843722025134228,0.5600804440460526,11
2018-06-15_10-30-10,dummyR.bot,1.25,0.0,0.0,6.0,0.0,0.0,0.0,10.0,0.0,0.6660787049471766,0.5678506086758999,0.7078184631823355,0.6212018924934178,12
2018-06-15_10-31-00,dummyR.bot,1.25,0.0,0.0,4.0,0.0,0.0,0.0,10.0,0.0,0.5101334733708657,0.3699615834487763,0.4902161517503407,0.4787908798766532,13
2018-06-15_10-33-40,avg_seagrass,1.25,15.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.4754595532634386,0.4098909529988872,0.6526267585137606,0.4989245438585524,14
2018-06-15_10-37-15,avg_seagrass,1.25,0.0,7.0,0.0,0.0,0.0,0.0,10.0,0.0,1.4817223157500503,1.3487135779760178,1.3082612273013026,1.3694069345620323,15
2018-06-15_10-37-52,avg_seagrass,1.25,0.0,0.0,4.0,0.0,0.0,0.0,10.0,0.0,0.5133005613590012,0.4299793246594135,0.523716661856813,0.4713467480239497,16
