date,bottom,depth,chl,cdom,mineral,cloud,suntheta,windspeed,temp,salinity,BLUE,GREEN,RED,CLEAR,name
2018-06-15_10-17-39,dummyR.bot,1.25,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.2514390560714664,0.07548574050424013,0.051671940247091104,0.11142979008275783,1
2018-06-15_10-19-25,dummyR.bot,1.25,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.4227100686569453,0.3300625426591008,0.4399427392090627,0.3820804929433816,2
2018-06-15_10-20-56,dummyR.bot,1.25,15.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.5045129786859732,0.4502638714370133,0.623719469900083,0.5060992601124759,3
2018-06-15_10-21-51,dummyR.bot,1.25,20.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.5845107279466855,0.5662898717960727,0.8006534370446653,0.6236867078252621,4
2018-06-15_10-22-34,dummyR.bot,1.25,17.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.5367103791909974,0.497159345184838,0.6953295454770015,0.5538768579760974,5
2018-06-15_10-25-06,dummyR.bot,1.25,0.0,7.0,0.0,0.0,0.0,0.0,10.0,0.0,1.5118322722033617,1.3415498619877475,1.3256692647955082,1.37900863163133,6
2018-06-15_10-25-44,dummyR.bot,1.25,0.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,1.153232440897504,0.9814695359689608,0.9638997786865132,1.0187820025496706,7
2018-06-15_10-26-24,dummyR.bot,1.25,0.0,4.0,0.0,0.0,0.0,0.0,10.0,0.0,0.9735924519671836,0.8010107916585419,0.7825169442080046,0.8382454916478529,8
2018-06-15_10-27-30,dummyR.bot,1.25,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0482416673612263,1.8798505899366782,1.8661352429237248,1.9174959152481723,9
2018-06-15_10-28-09,dummyR.bot,1.25,0.0,0.0,3.0,0.0,0.0,0.0,10.0,0.0,0.4583459092066481,0.31994145683764136,0.3675019076215801,0.3677055165983973,10
2018-06-15_10-28-43,dummyR.bot,1.25,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.6073589821465769,0.5054534275395585,0.6084887939797473,0.5584023239802689,11
2018-06-15_10-30-10,dummyR.bot,1.25,0.0,0.0,6.0,0.0,0.0,0.0,10.0,0.0,0.6836140158070401,0.602332000423202,0.7332356714080848,0.6562984341177632,12
2018-06-15_10-31-00,dummyR.bot,1.25,0.0,0.0,4.0,0.0,0.0,0.0,10.0,0.0,0.5321422533007063,0.4110470172665917,0.4861642578032434,0.4619197544266858,13
2018-06-15_10-33-40,avg_seagrass,1.25,15.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.5045129786859732,0.4502638714370133,0.623719469900083,0.5060992601124759,14
2018-06-15_10-37-15,avg_seagrass,1.25,0.0,7.0,0.0,0.0,0.0,0.0,10.0,0.0,1.5118322722033617,1.3415498619877475,1.3256692647955082,1.37900863163133,15
2018-06-15_10-37-52,avg_seagrass,1.25,0.0,0.0,4.0,0.0,0.0,0.0,10.0,0.0,0.5321422533007063,0.4110470172665917,0.4861642578032434,0.4619197544266858,16
