date,bottom,depth,chl,cdom,mineral,cloud,suntheta,windspeed,temp,salinity,BLUE,GREEN,RED,CLEAR,name
2018-06-15_10-17-39,dummyR.bot,1.25,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.14930317989172173,0.037328029543941536,-0.029483669546553588,0.16355474021413002,1
2018-06-15_10-19-25,dummyR.bot,1.25,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.38359458505102506,0.4809636289930603,0.4379753943610272,0.21217465655637832,2
2018-06-15_10-20-56,dummyR.bot,1.25,15.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.4953676455174594,0.3617430013511443,0.5933800873523248,0.513501885368601,3
2018-06-15_10-21-51,dummyR.bot,1.25,20.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.5396654606538114,0.4835444837421781,0.8226432188940361,0.4760720794050698,4
2018-06-15_10-22-34,dummyR.bot,1.25,17.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.5995375769563738,0.5603643738862142,0.9088392735711776,0.6042728447834961,5
2018-06-15_10-25-06,dummyR.bot,1.25,0.0,7.0,0.0,0.0,0.0,0.0,10.0,0.0,1.405478303723207,1.3965834833661397,1.3519317402638962,1.377516469767922,6
2018-06-15_10-25-44,dummyR.bot,1.25,0.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,1.1298107878931631,0.9746394881571157,1.0535556125050811,1.1209059814547724,7
2018-06-15_10-26-24,dummyR.bot,1.25,0.0,4.0,0.0,0.0,0.0,0.0,10.0,0.0,0.813814188502917,0.8041068521912164,0.8430098915664404,0.7861014635638762,8
2018-06-15_10-27-30,dummyR.bot,1.25,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0691822122605807,1.8053136274217696,1.8444645001653337,1.7558828173165624,9
2018-06-15_10-28-09,dummyR.bot,1.25,0.0,0.0,3.0,0.0,0.0,0.0,10.0,0.0,0.4315675284106501,0.4244688004602398,0.3021939245426992,0.2862819832745564,10
2018-06-15_10-28-43,dummyR.bot,1.25,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.4854016316129239,0.442083222915886,0.5779896182641229,0.6646036973583066,11
2018-06-15_10-30-10,dummyR.bot,1.25,0.0,0.0,6.0,0.0,0.0,0.0,10.0,0.0,0.7864804669315042,0.5822365163842979,0.7453565294700555,0.7189689263867081,12
2018-06-15_10-31-00,dummyR.bot,1.25,0.0,0.0,4.0,0.0,0.0,0.0,10.0,0.0,0.46019311796798296,0.39107188236406937,0.4542998123772348,0.3838343410152125,13
2018-06-15_10-33-40,avg_seagrass,1.25,15.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.4478388088006565,0.4298763012731236,0.6825857541250026,0.4521693789535887,14
2018-06-15_10-37-15,avg_seagrass,1.25,0.0,7.0,0.0,0.0,0.0,0.0,10.0,0.0,1.3739283332004,1.1464757401572343,1.2771778742109012,1.308068935887612,15
2018-06-15_10-37-52,avg_seagrass,1.25,0.0,0.0,4.0,0.0,0.0,0.0,10.0,0.0,0.5285912513593866,0.3804638389641932,0.43011357643866543,0.3698784233904657,16
