date,bottom,depth,chl,cdom,mineral,cloud,suntheta,windspeed,temp,salinity,BLUE,GREEN,RED,CLEAR,name
2018-06-15_10-17-39,dummyR.bot,1.25,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.22269489162582573,0.002858423817251656,0.016060833002155404,0.12533193784803934,1
2018-06-15_10-19-25,dummyR.bot,1.25,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.4458761248269924,0.2935462671599744,0.4363968207007142,0.3641512105984411,2
2018-06-15_10-20-56,dummyR.bot,1.25,15.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.4381439617706887,0.5326633577946924,0.6583638995938105,0.43074452058238255,3
2018-06-15_10-21-51,dummyR.bot,1.25,20.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.5544588787225643,0.5444347489473023,0.7609080048490936,0.6472384574869726,4
2018-06-15_10-22-34,dummyR.bot,1.25,17.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.5499920293763488,0.5323161450269268,0.6552918293114622,0.6219609384390483,5
2018-06-15_10-25-06,dummyR.bot,1.25,0.0,7.0,0.0,0.0,0.0,0.0,10.0,0.0,1.523962521303322,1.298891540998092,1.2951643108879642,1.4080881638027565,6
2018-06-15_10-25-44,dummyR.bot,1.25,0.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,1.1486385576216147,0.9608295609495572,0.9915148196857884,1.0308328025522473,7
2018-06-15_10-26-24,dummyR.bot,1.25,0.0,4.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0213516461161398,0.8293030820152753,0.8150075047373063,0.8238840376387866,8
2018-06-15_10-27-30,dummyR.bot,1.25,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,2.04669663784256,1.8602331077844607,1.8377231529339395,1.8894772971734568,9
2018-06-15_10-28-09,dummyR.bot,1.25,0.0,0.0,3.0,0.0,0.0,0.0,10.0,0.0,0.4679558557112216,0.27244379743239866,0.4005081907908436,0.3783174165911953,10
2018-06-15_10-28-43,dummyR.bot,1.25,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.6326932399671608,0.4351937315508035,0.5485438817819904,0.5844605893678384,11
2018-06-15_10-30-10,dummyR.bot,1.25,0.0,0.0,6.0,0.0,0.0,0.0,10.0,0.0,0.7411292109156246,0.630002991230436,0.7500306542746245,0.6485220630880406,12
2018-06-15_10-31-00,dummyR.bot,1.25,0.0,0.0,4.0,0.0,0.0,0.0,10.0,0.0,0.5352626549440723,0.40048675493113817,0.4980290827264429,0.50642022291814,13
2018-06-15_10-33-40,avg_seagrass,1.25,15.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.5077622886799423,0.4494620196534438,0.5657200327563839,0.4733061715742272,14
2018-06-15_10-37-15,avg_seagrass,1.25,0.0,7.0,0.0,0.0,0.0,0.0,10.0,0.0,1.490887357459406,1.328385309585968,1.3092043593719729,1.4223881565564351,15
2018-06-15_10-37-52,avg_seagrass,1.25,0.0,0.0,4.0,0.0,0.0,0.0,10.0,0.0,0.5316911683813127,0.4022148006048164,0.4768782078421552,0.4891882207999389,16
