date,bottom,depth,chl,cdom,mineral,cloud,suntheta,windspeed,temp,salinity,BLUE,GREEN,RED,CLEAR,name
2018-07-09_09-46-20,dummyR.bot,1.25,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.2947559805220714,0.11404637306012072,0.1025946371281798,0.15185809082011034,1
2018-07-09_09-46-20,dummyR.bot,1.25,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.3119190035124436,0.1399855844240956,0.14195181357616568,0.17951478287547845,2
2018-07-09_09-46-20,dummyR.bot,1.25,3.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.32896693122976645,0.1657508929581524,0.1810589003399087,0.20688536229685986,3
2018-07-09_09-46-20,dummyR.bot,1.25,4.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.3459262584869803,0.19136534569963312,0.219973174500202,0.23402307213974746,4
2018-07-09_09-46-20,dummyR.bot,1.25,5.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.3628059626103757,0.2168430858598695,0.25870039330596817,0.2609430747936436,5
2018-07-09_09-46-20,dummyR.bot,1.25,6.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.3796124756117472,0.2421807918574176,0.2972451281172461,0.2876496292406477,6
2018-07-09_09-46-20,dummyR.bot,1.25,7.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.3963507427784153,0.2673827188085019,0.3356082334047176,0.3141488129019137,7
2018-07-09_09-46-20,dummyR.bot,1.25,8.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.4130250799794599,0.2924502251599101,0.3737907227861733,0.3404445249712243,8
2018-07-09_09-46-20,dummyR.bot,1.25,9.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.4296299850250613,0.3173913046698556,0.4117938164365882,0.3665396816826533,9
2018-07-09_09-46-20,dummyR.bot,1.25,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.4461749672888167,0.34220454928459776,0.4496122124486409,0.3924373405873997,10
