date,bottom,depth,chl,cdom,mineral,cloud,suntheta,windspeed,temp,salinity,BLUE,GREEN,RED,CLEAR,name
2018-07-04_17-18-20,dummyR.bot,1.25,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.2767343067036685,0.0875333753445148,0.061782611499340924,0.12283042682470885,1
2018-07-04_17-19-53,dummyR.bot,1.25,1.0,1.0,1.0,0.0,0.0,0.0,10.0,0.0,0.5451313673881326,0.3818289066249308,0.3935711089465095,0.4217252576289861,2
2018-07-04_17-21-24,dummyR.bot,1.25,5.0,2.0,2.0,0.0,0.0,0.0,10.0,0.0,0.8786572619233195,0.7731769813559307,0.8651755229533677,0.8193409092903492,3
2018-07-04_17-22-01,dummyR.bot,1.25,4.0,3.0,1.0,0.0,0.0,0.0,10.0,0.0,0.967941897427561,0.8354042880799646,0.8905155772052887,0.8792885260324892,4
2018-07-04_17-22-46,dummyR.bot,1.25,45.0,3.0,2.0,0.0,0.0,0.0,10.0,0.0,1.7145529658829497,1.9039475469281069,2.4596744723886963,1.943868471116462,5
2018-07-04_17-23-27,dummyR.bot,1.25,40.0,3.0,3.0,0.0,0.0,0.0,10.0,0.0,1.7285634560022316,1.91002653913867,2.4402614252489245,1.9489561409540817,6
2018-07-04_17-24-17,dummyR.bot,1.25,50.0,4.0,3.0,0.0,0.0,0.0,10.0,0.0,2.071981433375379,2.3131399606553598,2.931416919724509,2.340061816645035,7
2018-07-04_17-25-04,dummyR.bot,1.25,6.0,20.0,2.0,0.0,0.0,0.0,10.0,0.0,4.213640144854174,4.139847753698624,4.256992458459537,4.182868558075176,8
2018-07-04_17-25-34,dummyR.bot,1.25,5.0,22.0,1.0,0.0,0.0,0.0,10.0,0.0,4.432278294050028,4.325495217111398,4.406508430404021,4.368952201890386,9
2018-07-04_17-26-36,dummyR.bot,1.25,4.0,19.0,2.0,0.0,0.0,0.0,10.0,0.0,3.998257416677012,3.9068956902752268,3.9979442911304433,3.948238429459471,10
2018-07-04_17-27-11,dummyR.bot,1.25,6.0,21.0,2.0,0.0,0.0,0.0,10.0,0.0,4.3952300969071185,4.322243364539582,4.439732195234257,4.365097611632017,11
2018-07-04_17-28-04,dummyR.bot,1.25,39.0,18.0,9.0,0.0,0.0,0.0,10.0,0.0,5.230047370785745,5.55951489242133,6.1723663232304915,5.545036360570228,12
2018-07-04_17-28-35,dummyR.bot,1.25,42.0,21.0,11.0,0.0,0.0,0.0,10.0,0.0,6.099210559086193,6.4927292803563725,7.148122838463179,6.4531938619213385,13
2018-07-04_17-29-28,dummyR.bot,1.25,47.0,22.0,9.0,0.0,0.0,0.0,10.0,0.0,6.120206492761568,6.496698685072117,7.163937794527698,6.467130527281181,14
2018-07-04_17-29-58,dummyR.bot,1.25,51.0,18.0,8.0,0.0,0.0,0.0,10.0,0.0,5.295256930929176,5.665751517531603,6.351352658476727,5.641411344597117,15
2018-07-04_17-30-27,dummyR.bot,1.25,6.0,1.0,1.0,0.0,0.0,0.0,10.0,0.0,0.6320142825180564,0.5137173134399052,0.5938635988420985,0.5605783828406152,16
2018-07-04_17-30-57,dummyR.bot,1.25,56.0,3.0,2.0,0.0,0.0,0.0,10.0,0.0,1.881411018926768,2.1324883139826216,2.780729616660568,2.1593754951994435,17
2018-07-04_17-31-23,dummyR.bot,1.25,7.0,23.0,3.0,0.0,0.0,0.0,10.0,0.0,4.903709277904907,4.867447792068049,5.0229393414238634,4.90832042235533,18
2018-07-04_17-31-51,dummyR.bot,1.25,5.0,23.0,2.0,0.0,0.0,0.0,10.0,0.0,4.740296077592043,4.6606107742438185,4.765301143468582,4.702059936874584,19
2018-07-04_17-32-43,dummyR.bot,1.25,6.0,25.0,3.0,0.0,0.0,0.0,10.0,0.0,5.252861381097074,5.209878457728122,5.3535005505825035,5.249847640327479,20
2018-07-04_17-33-45,dummyR.bot,1.25,46.0,19.0,11.0,0.0,0.0,0.0,10.0,0.0,5.773771894457152,6.185295744444008,6.868174723095723,6.140231968191299,21
2018-07-04_17-34-22,dummyR.bot,1.25,48.0,18.0,10.0,0.0,0.0,0.0,10.0,0.0,5.491028311410223,5.889983796434448,6.576755197906006,5.851673994697367,22
2018-07-04_17-34-53,dummyR.bot,1.25,6.0,23.0,2.0,0.0,0.0,0.0,10.0,0.0,4.756960684636058,4.6853674499024365,4.802489693265125,4.727661866909902,23
