date,bottom,depth,chl,cdom,mineral,cloud,suntheta,windspeed,temp,salinity,BLUE,GREEN,RED,CLEAR,name
2018-07-04_17-18-20,dummyR.bot,1.25,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.2514390560714664,0.07548574050424013,0.051671940247091104,0.11142979008275783,1
2018-07-04_17-19-53,dummyR.bot,1.25,1.0,1.0,1.0,0.0,0.0,0.0,10.0,0.0,0.5267641962587185,0.3758845431126607,0.3901828816921154,0.41737093651452695,2
2018-07-04_17-21-24,dummyR.bot,1.25,5.0,2.0,2.0,0.0,0.0,0.0,10.0,0.0,0.8715979803676802,0.7786534721800795,0.8747560545496729,0.8268859765099581,3
2018-07-04_17-22-01,dummyR.bot,1.25,4.0,3.0,1.0,0.0,0.0,0.0,10.0,0.0,0.9524936711328922,0.8326910287239006,0.8907475388398296,0.8783922665105433,4
2018-07-04_17-22-46,dummyR.bot,1.25,45.0,3.0,2.0,0.0,0.0,0.0,10.0,0.0,1.7064179304851446,1.8780527365333095,2.396170899926926,1.901330529419892,5
2018-07-04_17-23-27,dummyR.bot,1.25,40.0,3.0,3.0,0.0,0.0,0.0,10.0,0.0,1.732722112634232,1.9010976101373769,2.4005374217598816,1.9243585863136,6
2018-07-04_17-24-17,dummyR.bot,1.25,50.0,4.0,3.0,0.0,0.0,0.0,10.0,0.0,2.0759926345209547,2.291446446054763,2.8525514564966237,2.296400940673684,7
2018-07-04_17-25-04,dummyR.bot,1.25,6.0,20.0,2.0,0.0,0.0,0.0,10.0,0.0,4.216305225917076,4.155033415417635,4.272681955084888,4.198716483748228,8
2018-07-04_17-25-34,dummyR.bot,1.25,5.0,22.0,1.0,0.0,0.0,0.0,10.0,0.0,4.415083220486539,4.320377375999317,4.401272508514551,4.364844084151093,9
2018-07-04_17-26-36,dummyR.bot,1.25,4.0,19.0,2.0,0.0,0.0,0.0,10.0,0.0,4.0008307761370645,3.922619309407272,4.014910550894055,3.9649576779603066,10
2018-07-04_17-27-11,dummyR.bot,1.25,6.0,21.0,2.0,0.0,0.0,0.0,10.0,0.0,4.39743323055099,4.3369542509918055,4.454006464911248,4.380210251844488,11
2018-07-04_17-28-04,dummyR.bot,1.25,39.0,18.0,9.0,0.0,0.0,0.0,10.0,0.0,5.331154756141283,5.635287926219161,6.175359525457123,5.591915887195302,12
2018-07-04_17-28-35,dummyR.bot,1.25,42.0,21.0,11.0,0.0,0.0,0.0,10.0,0.0,6.224852530302452,6.581623152210972,7.135651113677643,6.507989680558287,13
2018-07-04_17-29-28,dummyR.bot,1.25,47.0,22.0,9.0,0.0,0.0,0.0,10.0,0.0,6.225610886750107,6.5645728077007135,7.130401856212138,6.501618210291053,14
2018-07-04_17-29-58,dummyR.bot,1.25,51.0,18.0,8.0,0.0,0.0,0.0,10.0,0.0,5.383105589576796,5.713455803253648,6.293079650255554,5.655709538398671,15
2018-07-04_17-30-27,dummyR.bot,1.25,6.0,1.0,1.0,0.0,0.0,0.0,10.0,0.0,0.6151471759564876,0.5088913893008609,0.5924515845107564,0.557827384064698,16
2018-07-04_17-30-57,dummyR.bot,1.25,56.0,3.0,2.0,0.0,0.0,0.0,10.0,0.0,1.8710062514952457,2.0901984196535364,2.670452992895784,2.0939281883605734,17
2018-07-04_17-31-23,dummyR.bot,1.25,7.0,23.0,3.0,0.0,0.0,0.0,10.0,0.0,4.9221741991521615,4.900281566981374,5.0567401241472965,4.9404235913852235,18
2018-07-04_17-31-51,dummyR.bot,1.25,5.0,23.0,2.0,0.0,0.0,0.0,10.0,0.0,4.736214348974792,4.669515021394741,4.767963631355789,4.709715448887367,19
2018-07-04_17-32-43,dummyR.bot,1.25,6.0,25.0,3.0,0.0,0.0,0.0,10.0,0.0,5.27430962098561,5.244406787660336,5.388358232991421,5.284207104245833,20
2018-07-04_17-33-45,dummyR.bot,1.25,46.0,19.0,11.0,0.0,0.0,0.0,10.0,0.0,5.895903060618853,6.264535264259615,6.8313460544302025,6.183605449689511,21
2018-07-04_17-34-22,dummyR.bot,1.25,48.0,18.0,10.0,0.0,0.0,0.0,10.0,0.0,5.6017120686124855,5.958332535636151,6.5312694811405025,5.88479182041058,22
2018-07-04_17-34-53,dummyR.bot,1.25,6.0,23.0,2.0,0.0,0.0,0.0,10.0,0.0,4.752741713023274,4.6927860587207455,4.8019105869193766,4.733638678334868,23
