date,bottom,depth,chl,cdom,mineral,cloud,suntheta,windspeed,temp,salinity,BLUE,GREEN,RED,CLEAR,name
2018-07-05_17-10-08,dummyR.bot,1.25,7.0,2.0,2.0,0.0,0.0,0.0,10.0,0.0,0.9133412374200082,0.8256558257686717,0.9448355217262142,0.8738132987552281,1
2018-07-05_17-10-34,dummyR.bot,1.25,8.0,3.0,1.0,0.0,0.0,0.0,10.0,0.0,1.0359055426785704,0.9379080088796771,1.0462409157314958,0.9864047332084396,2
2018-07-05_17-11-00,dummyR.bot,1.25,10.0,2.0,2.0,0.0,0.0,0.0,10.0,0.0,0.9647739969799584,0.9030673346849396,1.0623353094029988,0.9536392779464486,3
2018-07-05_17-11-24,dummyR.bot,1.25,9.0,1.0,2.0,0.0,0.0,0.0,10.0,0.0,0.7578582440203281,0.6853400383057209,0.8311410218923967,0.7358838945105012,4
2018-07-05_17-11-58,dummyR.bot,1.25,5.0,6.0,2.0,0.0,0.0,0.0,10.0,0.0,1.6285515306026042,1.5308011825107637,1.626130638054554,1.5754189374183618,5
2018-07-05_17-12-25,dummyR.bot,1.25,7.0,8.0,1.0,0.0,0.0,0.0,10.0,0.0,1.934598523529513,1.8338692521543192,1.9327226173598768,1.8805354816822208,6
2018-07-05_17-13-00,dummyR.bot,1.25,5.0,9.0,2.0,0.0,0.0,0.0,10.0,0.0,2.1842242112388166,2.0907909804027827,2.1884476293969044,2.1346848257649262,7
2018-07-05_17-13-39,dummyR.bot,1.25,8.0,10.0,1.0,0.0,0.0,0.0,10.0,0.0,2.3151869712740742,2.224666970818676,2.337759255442457,2.2720845983942506,8
2018-07-05_17-15-08,dummyR.bot,1.25,6.0,8.0,2.0,0.0,0.0,0.0,10.0,0.0,2.016442999501125,1.9302483735760063,2.0403376801452,1.9753323848197035,9
2018-07-05_17-16-08,dummyR.bot,1.25,6.0,11.0,1.0,0.0,0.0,0.0,10.0,0.0,2.463368634511854,2.357031949288062,2.4449097068484598,2.402332995003777,10
2018-07-05_17-16-48,dummyR.bot,1.25,7.0,9.0,2.0,0.0,0.0,0.0,10.0,0.0,2.21806118428859,2.1416532906153365,2.2655180965298896,2.187400459776104,11
2018-07-05_17-17-34,dummyR.bot,1.25,22.0,1.0,2.0,0.0,0.0,0.0,10.0,0.0,0.9762181989047932,1.0092765988741144,1.320821700866696,1.064019606043409,12
2018-07-05_17-17-57,dummyR.bot,1.25,25.0,1.0,2.0,0.0,0.0,0.0,10.0,0.0,1.0251862519517894,1.0806032914210446,1.4278672138960724,1.1348828892013998,13
2018-07-05_17-18-21,dummyR.bot,1.25,27.0,3.0,1.0,0.0,0.0,0.0,10.0,0.0,1.3454445492123446,1.3952869859286297,1.7397399163622609,1.4512142254821825,14
2018-07-05_17-20-03,dummyR.bot,1.25,31.0,2.0,1.0,0.0,0.0,0.0,10.0,0.0,1.224824656814206,1.3018053590269347,1.6917563618581926,1.3570087904101606,15
2018-07-05_17-20-43,dummyR.bot,1.25,6.0,2.0,6.0,0.0,0.0,0.0,10.0,0.0,1.2218624856524505,1.211505829912516,1.4183156848574625,1.2566315526718952,16
2018-07-05_17-21-10,dummyR.bot,1.25,5.0,1.0,7.0,0.0,0.0,0.0,10.0,0.0,1.0710847208150744,1.0672992729092654,1.2879871107648628,1.1135244568180704,17
2018-07-05_17-21-38,dummyR.bot,1.25,8.0,2.0,8.0,0.0,0.0,0.0,10.0,0.0,1.4254846899110425,1.4792240139517434,1.7632743852290873,1.5195834186216426,18
2018-07-05_17-22-05,dummyR.bot,1.25,7.0,2.0,7.0,0.0,0.0,0.0,10.0,0.0,1.323387392701716,1.3450090809551858,1.59076042119354,1.3882621990744772,19
2018-07-05_17-22-40,dummyR.bot,1.25,6.0,1.0,8.0,0.0,0.0,0.0,10.0,0.0,1.1689506555301292,1.19763796226391,1.458013942979291,1.2416922057749766,20
2018-07-05_17-23-25,dummyR.bot,1.25,27.0,8.0,7.0,0.0,0.0,0.0,10.0,0.0,2.875714836374813,3.071158231995277,3.5490729930121168,3.0948490780521807,21
2018-07-05_17-29-03,dummyR.bot,1.25,29.0,9.0,8.0,0.0,0.0,0.0,10.0,0.0,3.20913430320035,3.442744977401898,3.9590058753284167,3.45659830074277,22
2018-07-05_18-15-26,dummyR.bot,1.25,20.0,6.0,5.0,0.0,0.0,0.0,10.0,0.0,2.1691427421784524,2.2638616491972416,2.6223635021798373,2.3053320547498553,23
2018-07-05_18-16-08,dummyR.bot,1.25,18.0,7.0,2.0,0.0,0.0,0.0,10.0,0.0,2.0306282593666274,2.0405390217748782,2.302995811559768,2.0923785573684452,24
2018-07-05_18-17-11,dummyR.bot,1.25,18.0,2.0,2.0,0.0,0.0,0.0,10.0,0.0,1.0989491612236149,1.1026554989161026,1.3647275096375893,1.1566154524750318,25
2018-07-05_18-19-08,dummyR.bot,1.25,17.0,2.0,2.0,0.0,0.0,0.0,10.0,0.0,1.0823912752256395,1.0782125686698611,1.3277756885188623,1.1319756760944368,26
2018-07-05_18-20-26,dummyR.bot,1.25,21.0,3.0,3.0,0.0,0.0,0.0,10.0,0.0,1.4232398762078804,1.4740287973578938,1.7979377459588202,1.524896006620445,27
2018-07-05_18-21-18,dummyR.bot,1.25,20.0,4.0,2.0,0.0,0.0,0.0,10.0,0.0,1.5062471617147395,1.5280609557306997,1.814616292622064,1.5812606410727743,28
2018-07-05_18-25-14,dummyR.bot,1.25,7.0,2.0,2.0,0.0,0.0,0.0,10.0,0.0,0.9133412374200082,0.8256558257686717,0.9448355217262142,0.8738132987552281,29
