date,bottom,depth,chl,cdom,mineral,cloud,suntheta,windspeed,temp,salinity,BLUE,GREEN,RED,CLEAR,name
2018-07-05_17-10-08,dummyR.bot,1.25,7.0,2.0,2.0,0.0,0.0,0.0,10.0,0.0,0.8868515174737592,0.8180326275134836,1.0254263932352798,0.8397079926627757,1
2018-07-05_17-10-34,dummyR.bot,1.25,8.0,3.0,1.0,0.0,0.0,0.0,10.0,0.0,1.0775689852128991,0.94087865721901,1.0326456232635566,0.9716979297270064,2
2018-07-05_17-11-00,dummyR.bot,1.25,10.0,2.0,2.0,0.0,0.0,0.0,10.0,0.0,0.9636989513004056,0.94838993909234,1.1035511504548543,0.9695838340935194,3
2018-07-05_17-11-24,dummyR.bot,1.25,9.0,1.0,2.0,0.0,0.0,0.0,10.0,0.0,0.7599299187003276,0.7118143385184013,0.7813661627468528,0.7347524700228737,4
2018-07-05_17-11-58,dummyR.bot,1.25,5.0,6.0,2.0,0.0,0.0,0.0,10.0,0.0,1.5909271691730444,1.5037686750669703,1.6671091710320989,1.62408547163717,5
2018-07-05_17-12-25,dummyR.bot,1.25,7.0,8.0,1.0,0.0,0.0,0.0,10.0,0.0,1.9279130195392544,1.8579898081084203,1.9519087462935016,1.857448227972461,6
2018-07-05_17-13-00,dummyR.bot,1.25,5.0,9.0,2.0,0.0,0.0,0.0,10.0,0.0,2.2036612286069017,2.1401282570633526,2.1440808007199483,2.138875621297135,7
2018-07-05_17-13-39,dummyR.bot,1.25,8.0,10.0,1.0,0.0,0.0,0.0,10.0,0.0,2.3061376481947145,2.2288654318246968,2.328357698889316,2.2706426330690723,8
2018-07-05_17-15-08,dummyR.bot,1.25,6.0,8.0,2.0,0.0,0.0,0.0,10.0,0.0,2.04165437590624,1.974958687826744,2.0695672172050728,2.007232854699768,9
2018-07-05_17-16-08,dummyR.bot,1.25,6.0,11.0,1.0,0.0,0.0,0.0,10.0,0.0,2.4364112743502866,2.34989403261221,2.4717125092279426,2.413586937686792,10
2018-07-05_17-16-48,dummyR.bot,1.25,7.0,9.0,2.0,0.0,0.0,0.0,10.0,0.0,2.222840571845579,2.1874947256009745,2.300990261086136,2.215829073225815,11
2018-07-05_17-17-34,dummyR.bot,1.25,22.0,1.0,2.0,0.0,0.0,0.0,10.0,0.0,1.009973008354543,1.0069032693997908,1.2775358715409877,1.1152620836574232,12
2018-07-05_17-17-57,dummyR.bot,1.25,25.0,1.0,2.0,0.0,0.0,0.0,10.0,0.0,0.9924803062372178,1.0739235898961517,1.3818268469302482,1.1369518529868765,13
2018-07-05_17-18-21,dummyR.bot,1.25,27.0,3.0,1.0,0.0,0.0,0.0,10.0,0.0,1.3197036194041096,1.3752600442626852,1.7273308235600167,1.4876889817280572,14
2018-07-05_17-20-03,dummyR.bot,1.25,31.0,2.0,1.0,0.0,0.0,0.0,10.0,0.0,1.1684999260538182,1.2842119988711649,1.6607492054565864,1.320176077954464,15
2018-07-05_17-20-43,dummyR.bot,1.25,6.0,2.0,6.0,0.0,0.0,0.0,10.0,0.0,1.2164415693093344,1.2947875966788096,1.4752888734428975,1.305334572032934,16
2018-07-05_17-21-10,dummyR.bot,1.25,5.0,1.0,7.0,0.0,0.0,0.0,10.0,0.0,1.0889813775477832,1.1426782973943288,1.318919721519599,1.1619158104766318,17
2018-07-05_17-21-38,dummyR.bot,1.25,8.0,2.0,8.0,0.0,0.0,0.0,10.0,0.0,1.4708759913976592,1.540671614293238,1.8268918379577248,1.524679857876722,18
2018-07-05_17-22-05,dummyR.bot,1.25,7.0,2.0,7.0,0.0,0.0,0.0,10.0,0.0,1.3729870342909936,1.3620398803508245,1.6868742817411388,1.4115069927936592,19
2018-07-05_17-22-40,dummyR.bot,1.25,6.0,1.0,8.0,0.0,0.0,0.0,10.0,0.0,1.1873507595375927,1.2636200938554771,1.535570225576718,1.3192016869412282,20
2018-07-05_17-23-25,dummyR.bot,1.25,27.0,8.0,7.0,0.0,0.0,0.0,10.0,0.0,2.9000380703057984,3.10062335138253,3.5316663117446927,3.142411199821072,21
2018-07-05_17-29-03,dummyR.bot,1.25,29.0,9.0,8.0,0.0,0.0,0.0,10.0,0.0,3.3668729736879617,3.4925124232217137,3.9902313961854046,3.540007464750772,22
2018-07-05_18-15-26,dummyR.bot,1.25,20.0,6.0,5.0,0.0,0.0,0.0,10.0,0.0,2.2519841868082646,2.282471098637422,2.596877053910723,2.3662071030548617,23
2018-07-05_18-16-08,dummyR.bot,1.25,18.0,7.0,2.0,0.0,0.0,0.0,10.0,0.0,2.0288690929074185,2.012461403149932,2.3745597218332284,2.0734745295283674,24
2018-07-05_18-17-11,dummyR.bot,1.25,18.0,2.0,2.0,0.0,0.0,0.0,10.0,0.0,1.1186938058170963,1.1239344915422043,1.3383194653753312,1.1534239898259644,25
2018-07-05_18-19-08,dummyR.bot,1.25,17.0,2.0,2.0,0.0,0.0,0.0,10.0,0.0,1.0559891372664263,1.0985606883744372,1.3377299629676993,1.0966594846632605,26
2018-07-05_18-20-26,dummyR.bot,1.25,21.0,3.0,3.0,0.0,0.0,0.0,10.0,0.0,1.4133410772099717,1.4620813282841345,1.7819163180541977,1.580023463640453,27
2018-07-05_18-21-18,dummyR.bot,1.25,20.0,4.0,2.0,0.0,0.0,0.0,10.0,0.0,1.5051478603111292,1.5362984185096251,1.7944804080629897,1.5751257843328477,28
2018-07-05_18-25-14,dummyR.bot,1.25,7.0,2.0,2.0,0.0,0.0,0.0,10.0,0.0,0.928522446022396,0.814914058557795,0.9539538940754247,0.8477162766911741,29
