date,bottom,depth,chl,cdom,mineral,cloud,suntheta,windspeed,temp,salinity,BLUE,GREEN,RED,CLEAR,name
2018-07-05_17-02-54,dummyR.bot,1.25,5.0,1.0,1.0,0.0,0.0,0.0,10.0,0.0,0.5977421648241822,0.4828306283858333,0.5527676979310358,0.5305256844031147,1
2018-07-05_17-03-28,dummyR.bot,1.25,7.0,1.0,1.0,0.0,0.0,0.0,10.0,0.0,0.6324559959168637,0.5347307224070853,0.6317929637537368,0.5847908227186744,2
2018-07-05_17-04-30,dummyR.bot,1.25,8.0,1.0,1.0,0.0,0.0,0.0,10.0,0.0,0.6496499555051921,0.5603293264267262,0.6707916682961141,0.6114073216497702,3
2018-07-05_17-04-57,dummyR.bot,1.25,10.0,1.0,1.0,0.0,0.0,0.0,10.0,0.0,0.6837243214606249,0.6108944660177891,0.7478033173376593,0.6636704128032277,4
2018-07-05_17-10-08,dummyR.bot,1.25,7.0,2.0,2.0,0.0,0.0,0.0,10.0,0.0,0.9067352530634044,0.831227102191371,0.9546401554388164,0.8812899446932797,5
2018-07-05_17-10-34,dummyR.bot,1.25,8.0,3.0,1.0,0.0,0.0,0.0,10.0,0.0,1.0211451849072959,0.9350584859095904,1.0465019024275932,0.9853456945702429,6
2018-07-05_17-11-00,dummyR.bot,1.25,10.0,2.0,2.0,0.0,0.0,0.0,10.0,0.0,0.9586626523492852,0.9083164444092916,1.0716897273544626,0.9602971960870296,7
2018-07-05_17-11-24,dummyR.bot,1.25,9.0,1.0,2.0,0.0,0.0,0.0,10.0,0.0,0.7495601254714795,0.6884604989318569,0.8388334795626974,0.7408060555652443,8
2018-07-05_17-11-58,dummyR.bot,1.25,5.0,6.0,2.0,0.0,0.0,0.0,10.0,0.0,1.6268869042422298,1.542349159369221,1.6409991258742065,1.5885578364972652,9
2018-07-05_17-12-25,dummyR.bot,1.25,7.0,8.0,1.0,0.0,0.0,0.0,10.0,0.0,1.9212549292864225,1.8327701543329649,1.9338788519842764,1.8809605603787745,10
2018-07-05_17-13-00,dummyR.bot,1.25,5.0,9.0,2.0,0.0,0.0,0.0,10.0,0.0,2.1846772190463306,2.104559266953478,2.205017867668373,2.149821214153142,11
2018-07-05_17-13-39,dummyR.bot,1.25,8.0,10.0,1.0,0.0,0.0,0.0,10.0,0.0,2.3018987352940607,2.2232293395651586,2.3381609995478687,2.2720074857961507,12
2018-07-05_17-15-08,dummyR.bot,1.25,6.0,8.0,2.0,0.0,0.0,0.0,10.0,0.0,2.0164576249440507,1.9433112727627369,2.0563299535555517,1.989740550268147,13
2018-07-05_17-16-08,dummyR.bot,1.25,6.0,11.0,1.0,0.0,0.0,0.0,10.0,0.0,2.449795887038729,2.355835071996957,2.4455242494134777,2.4025789648933467,14
2018-07-05_17-16-48,dummyR.bot,1.25,7.0,9.0,2.0,0.0,0.0,0.0,10.0,0.0,2.2187522577663303,2.155109643737988,2.2816421163960117,2.202009347099162,15
2018-07-05_17-17-34,dummyR.bot,1.25,22.0,1.0,2.0,0.0,0.0,0.0,10.0,0.0,0.9686537501883091,1.0066966673484996,1.3178188638383526,1.058649919135288,16
2018-07-05_17-17-57,dummyR.bot,1.25,25.0,1.0,2.0,0.0,0.0,0.0,10.0,0.0,1.017454454922901,1.0756116751361806,1.419841162247741,1.1255535720641483,17
2018-07-05_17-18-21,dummyR.bot,1.25,27.0,3.0,1.0,0.0,0.0,0.0,10.0,0.0,1.3297100471044283,1.3810230961293029,1.7203979322109932,1.4327625066428462,18
2018-07-05_17-18-48,dummyR.bot,1.25,29.0,2.0,2.0,0.0,0.0,0.0,10.0,0.0,1.2710627213717345,1.3557334095932796,1.7403781815299104,1.4014238457346606,19
2018-07-05_17-19-14,dummyR.bot,1.25,33.0,3.0,2.0,0.0,0.0,0.0,10.0,0.0,1.52210621842556,1.6313669883297857,2.0534691043641518,1.6720528616505113,20
2018-07-05_17-20-03,dummyR.bot,1.25,31.0,2.0,1.0,0.0,0.0,0.0,10.0,0.0,1.2078958785270084,1.282976769417287,1.6639164077986195,1.331982895936803,21
2018-07-05_17-20-43,dummyR.bot,1.25,6.0,2.0,6.0,0.0,0.0,0.0,10.0,0.0,1.2516535105704292,1.2542066261956537,1.4661989488090867,1.2991239672985928,22
2018-07-05_17-21-10,dummyR.bot,1.25,5.0,1.0,7.0,0.0,0.0,0.0,10.0,0.0,1.1026252610274323,1.111323643725158,1.337635542345733,1.1572100267928915,23
