date,bottom,depth,chl,cdom,mineral,cloud,suntheta,windspeed,temp,salinity,BLUE,GREEN,RED,CLEAR,name
2018-07-05_18-43-11,dummyR.bot,1.25,5.0,2.0,2.0,0.0,0.0,0.0,10.0,0.0,0.8715979803676802,0.7786534721800795,0.8747560545496729,0.8268859765099581,1
2018-07-05_18-43-55,dummyR.bot,1.25,6.0,2.0,1.0,0.0,0.0,0.0,10.0,0.0,0.8016305863061481,0.6972717838272805,0.7814950719850318,0.7457972471380059,2
2018-07-05_18-44-34,dummyR.bot,1.25,7.0,1.0,2.0,0.0,0.0,0.0,10.0,0.0,0.7144652692313628,0.6361630538105856,0.7595182209065594,0.6871392726278253,3
2018-07-05_18-45-11,dummyR.bot,1.25,8.0,3.0,1.0,0.0,0.0,0.0,10.0,0.0,1.0211451849072959,0.9350584859095904,1.0465019024275932,0.9853456945702429,4
2018-07-05_18-45-41,dummyR.bot,1.25,5.0,2.0,1.0,0.0,0.0,0.0,10.0,0.0,0.7843471954054827,0.6714163912248344,0.7421508673201209,0.7187305347244017,5
2018-07-05_18-46-16,dummyR.bot,1.25,7.0,2.0,2.0,0.0,0.0,0.0,10.0,0.0,0.9067352530634044,0.831227102191371,0.9546401554388164,0.8812899446932797,6
2018-07-05_18-46-41,dummyR.bot,1.25,9.0,3.0,1.0,0.0,0.0,0.0,10.0,0.0,1.038067357677726,0.96013721221639,1.0846842616479904,1.0113056577259532,7
2018-07-05_18-47-09,dummyR.bot,1.25,8.0,2.0,2.0,0.0,0.0,0.0,10.0,0.0,0.924138851181999,0.8571463280972509,0.9940119862153426,0.9079550577754496,8
2018-07-05_18-47-55,dummyR.bot,1.25,15.0,2.0,2.0,0.0,0.0,0.0,10.0,0.0,1.0433577905468034,1.0324565904902678,1.2596602261480363,1.0856357780235764,9
2018-07-05_19-00-41,dummyR.bot,1.25,5.0,6.0,3.0,0.0,0.0,0.0,10.0,0.0,1.7331235010419477,1.6717756181574348,1.7952574946302102,1.7171006777415234,10
2018-07-05_19-02-13,dummyR.bot,1.25,6.0,6.0,2.0,0.0,0.0,0.0,10.0,0.0,1.6441200988197446,1.5680064121365471,1.6799404967486369,1.6151281955762338,11
2018-07-05_19-03-06,dummyR.bot,1.25,9.0,7.0,2.0,0.0,0.0,0.0,10.0,0.0,1.881553919782493,1.831466567977561,1.9829852646063493,1.8803039095330067,12
2018-07-05_19-03-34,dummyR.bot,1.25,8.0,6.0,2.0,0.0,0.0,0.0,10.0,0.0,1.6782892475968307,1.6187083057480032,1.7569042480423962,1.6673382719242156,13
2018-07-05_19-21-24,dummyR.bot,1.25,8.0,6.0,2.0,0.0,0.0,0.0,10.0,0.0,1.6782892475968307,1.6187083057480032,1.7569042480423962,1.6673382719242156,14
2018-07-05_19-21-59,dummyR.bot,1.25,7.3,8.2,1.8,0.0,0.0,0.0,10.0,0.0,2.0530088251098517,1.9860178293553328,2.111097852655039,2.033656263223558,15
2018-07-05_19-22-25,dummyR.bot,1.25,6.8,7.5,2.1,0.0,0.0,0.0,10.0,0.0,1.9483711083202957,1.8834881197307112,2.0092024465171296,1.930592410750856,16
2018-07-05_19-23-07,dummyR.bot,1.25,6.1,7.8,1.8,0.0,0.0,0.0,10.0,0.0,1.9586578436486128,1.8813201847727372,1.9905712489565248,1.9281045168242663,17
2018-07-05_19-33-07,dummyR.bot,1.25,13.5,3.1,1.5,0.0,0.0,0.0,10.0,0.0,1.1788812141778675,1.1473403958645303,1.3425804573089888,1.2005350261963312,18
2018-07-05_19-33-40,dummyR.bot,1.25,14.4,2.1,1.3,0.0,0.0,0.0,10.0,0.0,0.9886222314186338,0.9582340231907186,1.1595596930300334,1.0124660041839315,19
2018-07-05_19-34-06,dummyR.bot,1.25,14.8,2.3,1.5,0.0,0.0,0.0,10.0,0.0,1.050855080655388,1.0280843079739468,1.239629595462136,1.0819808541972626,20
2018-07-05_19-34-31,dummyR.bot,1.25,13.6,1.8,2.1,0.0,0.0,0.0,10.0,0.0,0.9907614913537109,0.9709023692877109,1.183317321419116,1.023974123061962,21
2018-07-05_19-35-26,dummyR.bot,1.25,13.9,1.2,1.5,0.0,0.0,0.0,10.0,0.0,0.8289983551396459,0.7976026860049951,0.9981444924076386,0.8520163475935172,22
2018-07-05_20-02-47,dummyR.bot,1.25,7.5,2.1,1.5,0.0,0.0,0.0,10.0,0.0,0.8899750646187115,0.8085864912096885,0.9258084008062348,0.8589141406769152,23
2018-07-05_20-03-47,dummyR.bot,1.25,6.8,1.8,1.3,0.0,0.0,0.0,10.0,0.0,0.8039992871692501,0.7120184196098273,0.8145526795356017,0.7617554128369124,24
2018-07-05_20-05-04,dummyR.bot,1.25,8.8,2.5,2.1,0.0,0.0,0.0,10.0,0.0,1.042448883263735,0.9854359460677624,1.1356029746885306,1.0363326026945934,25
2018-07-05_20-05-49,dummyR.bot,1.25,13.4,1.5,1.2,0.0,0.0,0.0,10.0,0.0,0.8511088129053458,0.8100959506391942,0.9962180803301104,0.8644452458155748,26
2018-07-05_20-06-12,dummyR.bot,1.25,13.6,1.8,0.9,0.0,0.0,0.0,10.0,0.0,0.8840691550054952,0.8387571002707721,1.0194471285389357,0.8932781991275364,27
2018-07-05_20-07-17,dummyR.bot,1.25,6.6,5.8,0.9,0.0,0.0,0.0,10.0,0.0,1.5021309620997858,1.4058640126279025,1.4980343901772848,1.4540663506491134,28
2018-07-05_20-07-43,dummyR.bot,1.25,8.6,5.9,1.8,0.0,0.0,0.0,10.0,0.0,1.6486335867943005,1.5891548595048781,1.7300870010927696,1.6384655703923905,29
2018-07-05_20-08-43,dummyR.bot,1.25,7.3,7.1,2.1,0.0,0.0,0.0,10.0,0.0,1.8823853671665298,1.8210344559402465,1.953084620774141,1.868637371895565,30
2018-07-05_20-09-46,dummyR.bot,1.25,6.3,3.1,2.3,0.0,0.0,0.0,10.0,0.0,1.1322310870109806,1.059787934534922,1.1818017851164508,1.1084477574986695,31
