date,bottom,depth,chl,cdom,mineral,cloud,suntheta,windspeed,temp,salinity,BLUE,GREEN,RED,CLEAR,name
2018-07-05_18-43-11,dummyR.bot,1.25,5.0,2.0,2.0,0.0,0.0,0.0,10.0,0.0,0.8747724557482038,0.7414137278404871,0.8243218332941291,0.8406696322446419,1
2018-07-05_18-43-55,dummyR.bot,1.25,6.0,2.0,1.0,0.0,0.0,0.0,10.0,0.0,0.8594150149950024,0.7205989912572959,0.8734612083941081,0.6638282632077496,2
2018-07-05_18-44-34,dummyR.bot,1.25,7.0,1.0,2.0,0.0,0.0,0.0,10.0,0.0,0.7075116952894291,0.7112182892699533,0.6890897800990026,0.7042113979359858,3
2018-07-05_18-45-11,dummyR.bot,1.25,8.0,3.0,1.0,0.0,0.0,0.0,10.0,0.0,1.058430012853562,0.9216379787262954,1.0221561617008037,1.0088227716923328,4
2018-07-05_18-45-41,dummyR.bot,1.25,5.0,2.0,1.0,0.0,0.0,0.0,10.0,0.0,0.8021261465033033,0.6640702804705715,0.8437258189783153,0.7865165403439495,5
2018-07-05_18-46-16,dummyR.bot,1.25,7.0,2.0,2.0,0.0,0.0,0.0,10.0,0.0,0.9782467263147936,0.8538411120471812,0.894916939722352,0.8205688201786278,6
2018-07-05_18-46-41,dummyR.bot,1.25,9.0,3.0,1.0,0.0,0.0,0.0,10.0,0.0,1.1604513953873683,0.9731964061046032,1.161609116672954,0.9174131474263478,7
2018-07-05_18-47-09,dummyR.bot,1.25,8.0,2.0,2.0,0.0,0.0,0.0,10.0,0.0,0.9734890723694992,0.9463541220570154,0.9226775033482856,0.9137715385163191,8
2018-07-05_18-47-55,dummyR.bot,1.25,15.0,2.0,2.0,0.0,0.0,0.0,10.0,0.0,1.0245063009966904,0.9511392201032632,1.3448555924809409,1.1254420243366023,9
2018-07-05_19-00-41,dummyR.bot,1.25,5.0,6.0,3.0,0.0,0.0,0.0,10.0,0.0,1.7122676021973742,1.5952931650716846,1.8053179296834172,1.7948462787510648,10
2018-07-05_19-02-13,dummyR.bot,1.25,6.0,6.0,2.0,0.0,0.0,0.0,10.0,0.0,1.645806581855095,1.5602695708247123,1.6529455134182034,1.7317631736943206,11
2018-07-05_19-03-06,dummyR.bot,1.25,9.0,7.0,2.0,0.0,0.0,0.0,10.0,0.0,1.9583849487369367,1.812937690588425,2.125966278408047,1.9050774702025344,12
2018-07-05_19-03-34,dummyR.bot,1.25,8.0,6.0,2.0,0.0,0.0,0.0,10.0,0.0,1.5815967796799744,1.562351715058859,1.6291165916957773,1.6618577464857798,13
2018-07-05_19-21-24,dummyR.bot,1.25,8.0,6.0,2.0,0.0,0.0,0.0,10.0,0.0,1.6975881140279478,1.6169165631336373,1.7779390899243914,1.598533696662222,14
2018-07-05_19-21-59,dummyR.bot,1.25,7.3,8.2,1.8,0.0,0.0,0.0,10.0,0.0,2.11239820460024,2.091108903962592,2.0932016157026245,2.048343174150576,15
2018-07-05_19-22-25,dummyR.bot,1.25,6.8,7.5,2.1,0.0,0.0,0.0,10.0,0.0,1.884308529010864,1.8533024886365868,1.941398202226826,1.8862307597974168,16
2018-07-05_19-23-07,dummyR.bot,1.25,6.1,7.8,1.8,0.0,0.0,0.0,10.0,0.0,1.8868939700586245,1.9036118288508936,2.0211805449682383,1.9836526616386467,17
2018-07-05_19-33-07,dummyR.bot,1.25,13.5,3.1,1.5,0.0,0.0,0.0,10.0,0.0,1.172537402532425,1.160438390920378,1.354474353187894,1.2162024178803468,18
2018-07-05_19-33-40,dummyR.bot,1.25,14.4,2.1,1.3,0.0,0.0,0.0,10.0,0.0,0.8957607798192432,1.0003236895543188,1.2324467331616904,0.974427410743478,19
2018-07-05_19-34-06,dummyR.bot,1.25,14.8,2.3,1.5,0.0,0.0,0.0,10.0,0.0,1.1144496020479973,1.0431699163468096,1.1476937870679131,1.1442733081014418,20
2018-07-05_19-34-31,dummyR.bot,1.25,13.6,1.8,2.1,0.0,0.0,0.0,10.0,0.0,0.9516106011901464,0.9501762378590828,1.1243142917747584,1.070739192662168,21
2018-07-05_19-35-26,dummyR.bot,1.25,13.9,1.2,1.5,0.0,0.0,0.0,10.0,0.0,0.7934071580986461,0.8141777243541319,1.0283743327546655,0.8564324337383806,22
