date,bottom,depth,chl,cdom,mineral,cloud,suntheta,windspeed,temp,salinity,BLUE,GREEN,RED,CLEAR,name
2018-07-05_18-43-11,dummyR.bot,1.25,5.0,2.0,2.0,0.0,0.0,0.0,10.0,0.0,0.8223411572895093,0.8567236019129025,0.8685329957690712,0.8166135225401192,1
2018-07-05_18-43-55,dummyR.bot,1.25,6.0,2.0,1.0,0.0,0.0,0.0,10.0,0.0,0.7513823032607523,0.7096049734879707,0.8040493640900747,0.7450537493657898,2
2018-07-05_18-44-34,dummyR.bot,1.25,7.0,1.0,2.0,0.0,0.0,0.0,10.0,0.0,0.6786261875639936,0.6467074818112715,0.7906972891989025,0.7064600556578291,3
2018-07-05_18-45-11,dummyR.bot,1.25,8.0,3.0,1.0,0.0,0.0,0.0,10.0,0.0,1.0175077075677366,0.9462030123428896,1.1260015492168336,0.9777263738829659,4
2018-07-05_18-45-41,dummyR.bot,1.25,5.0,2.0,1.0,0.0,0.0,0.0,10.0,0.0,0.7612872834176754,0.7022581934449286,0.7372475435809255,0.7018925185992122,5
2018-07-05_18-46-16,dummyR.bot,1.25,7.0,2.0,2.0,0.0,0.0,0.0,10.0,0.0,0.8925585119376936,0.7787488352604849,0.9338902072674801,0.961250685819292,6
2018-07-05_18-46-41,dummyR.bot,1.25,9.0,3.0,1.0,0.0,0.0,0.0,10.0,0.0,1.0213514060381401,0.966887758388784,1.09461567242216,1.02271933415209,7
2018-07-05_18-47-09,dummyR.bot,1.25,8.0,2.0,2.0,0.0,0.0,0.0,10.0,0.0,0.8822735510501171,0.8314144349025636,1.0163634270379187,0.928317023503904,8
2018-07-05_18-47-55,dummyR.bot,1.25,15.0,2.0,2.0,0.0,0.0,0.0,10.0,0.0,0.9811913295885838,1.0063124726676873,1.3275523029354108,1.1057902022182464,9
2018-07-05_19-00-41,dummyR.bot,1.25,5.0,6.0,3.0,0.0,0.0,0.0,10.0,0.0,1.7524643192031326,1.709628446216058,1.7031531786377911,1.7746093518988528,10
2018-07-05_19-02-13,dummyR.bot,1.25,6.0,6.0,2.0,0.0,0.0,0.0,10.0,0.0,1.6585704561893335,1.5673741699900512,1.6452515672521388,1.5832727846363317,11
2018-07-05_19-03-06,dummyR.bot,1.25,9.0,7.0,2.0,0.0,0.0,0.0,10.0,0.0,1.9229712193286816,1.8347992043915275,2.0364397902470386,1.8392186437116465,12
2018-07-05_19-03-34,dummyR.bot,1.25,8.0,6.0,2.0,0.0,0.0,0.0,10.0,0.0,1.7161066937727554,1.54103706104394,1.7307122552478722,1.6317749194970137,13
2018-07-05_19-21-24,dummyR.bot,1.25,8.0,6.0,2.0,0.0,0.0,0.0,10.0,0.0,1.6608332363416918,1.5745922900051312,1.7415450487688593,1.6834076876696231,14
2018-07-05_19-21-59,dummyR.bot,1.25,7.3,8.2,1.8,0.0,0.0,0.0,10.0,0.0,2.036048577637393,2.004000085170538,2.137520940087071,2.024178097573241,15
2018-07-05_19-22-25,dummyR.bot,1.25,6.8,7.5,2.1,0.0,0.0,0.0,10.0,0.0,1.9958692877235185,1.8678485769724176,1.9597832842833,1.8806848281437163,16
2018-07-05_19-23-07,dummyR.bot,1.25,6.1,7.8,1.8,0.0,0.0,0.0,10.0,0.0,1.967024054925516,1.89381849613574,1.934582448560885,1.9093670683644224,17
2018-07-05_19-33-07,dummyR.bot,1.25,13.5,3.1,1.5,0.0,0.0,0.0,10.0,0.0,1.1818514989732332,1.171233520957843,1.2965266463970928,1.2100082925599218,18
2018-07-05_19-33-40,dummyR.bot,1.25,14.4,2.1,1.3,0.0,0.0,0.0,10.0,0.0,1.0538847935552351,1.0045696625511324,1.1734903905318634,1.0502140648863791,19
2018-07-05_19-34-06,dummyR.bot,1.25,14.8,2.3,1.5,0.0,0.0,0.0,10.0,0.0,1.049151461260757,1.016868218959351,1.2384761991126316,1.0565697519570432,20
2018-07-05_19-34-31,dummyR.bot,1.25,13.6,1.8,2.1,0.0,0.0,0.0,10.0,0.0,0.9946109363900556,0.8794021730526149,1.2316081518754038,1.0504052207931065,21
2018-07-05_19-35-26,dummyR.bot,1.25,13.9,1.2,1.5,0.0,0.0,0.0,10.0,0.0,0.8026890539589094,0.7670690349515208,0.9291847887738008,0.8563377673267539,22
